theta,N,mean_abs_S,rms_abs_S,mean_abs_S_over_sqrtN,run_id,seed,Ns,max_charge,noise_sigma,n_samples,enforce_zero_sum
2.45,16,3.844,4.286,0.961,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.45,32,5.853,6.446,1.035,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.45,64,9.332,10.263,1.166,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.45,128,15.929,17.23,1.408,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.45,256,31.591,33.075,1.974,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.45,512,60.744,62.373,2.685,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.45,1024,120.239,121.849,3.757,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.4525,16,3.836,4.279,0.959,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.4525,32,5.835,6.429,1.031,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.4525,64,9.295,10.226,1.162,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.4525,128,15.834,17.139,1.399,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.4525,256,31.372,32.861,1.961,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.4525,512,60.281,61.92,2.664,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.4525,1024,119.304,120.925,3.728,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.455,16,3.828,4.272,0.957,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.455,32,5.817,6.412,1.028,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.455,64,9.259,10.19,1.157,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.455,128,15.738,17.048,1.391,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.455,256,31.151,32.647,1.947,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.455,512,59.814,61.464,2.643,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.455,1024,118.362,119.993,3.699,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.4575,16,3.82,4.265,0.955,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
2.4575,32,5.799,6.395,1.025,20251212_chain_residual_scan__seg2__zero_sum__ns400__seed1234,1234,"[16, 32, 64, 128, 256, 512, 1024]",3,0.0,400,True
