solve: {"n_eq": 3150, "n_unknown": 1076, "rank": 1076, "sv_min": 0.69950498289154, "sv_max": 1.257741191601473, "resid_rms": 1.634591186975291e-12, "resid_max": 5.411060488569319e-12, "tstar_min": 0.852080340484025, "tstar_max": 2.2212391226631887} 26s
c0 = -0.0000000000-4.2609826349j
in-sample band 60<N<=108: 43 modes, eps_in = 5.54e-07  -> tolerance 5.00e-03
OUT-OF-SAMPLE 108<N<=200: 88 modes, max |c/c0 - S| = 3.39e-04
   of which predicted nonzero: 56 (max dev 3.04e-04), predicted ZERO: 32 (max |obs| 3.39e-04)
  N    mode       nu          S(nu)     obs Re     obs Im    |diff|
 109  (6, -2)    (-1, -6)     -0.19157   -0.19156  +0.00000  5.7e-07
 109  (6, 2)     (1, -6)      +0.19157   +0.19157  +0.00000  1.7e-07
 111  (5, -12)   (-6, -5)     +0.00000   +0.00000  -0.00000  8.8e-07
 111  (5, 12)    (6, -5)      +0.00000   +0.00000  -0.00000  1.9e-07
 112  (2, -20)   (-10, -2)    +1.51186   +1.51186  -0.00000  1.0e-06
 112  (2, 20)    (10, -2)     +1.51186   +1.51186  +0.00000  5.3e-07
 112  (4, -16)   (-8, -4)     +0.00000   +0.00000  -0.00000  4.9e-07
 112  (4, 16)    (8, -4)      +0.00000   +0.00000  -0.00000  7.9e-07
 112  (6, -4)    (-2, -6)     +1.51186   +1.51186  +0.00000  8.8e-07
 112  (6, 4)     (2, -6)      +1.51186   +1.51186  -0.00000  9.5e-07
 117  (6, -6)    (-3, -6)     -0.55470   -0.55470  +0.00000  1.8e-06
 117  (6, 6)     (3, -6)      +0.55470   +0.55470  +0.00000  1.0e-06
 121  (0, 22)    (11, 0)      +2.00000   +2.00000  +0.00000  1.2e-06
 124  (1, -22)   (-11, -1)    -0.71842   -0.71842  -0.00000  8.6e-07
 124  (1, 22)    (11, -1)     -0.71842   -0.71842  +0.00000  2.7e-06
 124  (5, -14)   (-7, -5)     +0.71842   +0.71842  +0.00000  1.9e-06
 124  (5, 14)    (7, -5)      +0.71842   +0.71842  +0.00000  1.1e-06
 124  (6, -8)    (-4, -6)     +0.00000   +0.00000  +0.00000  1.5e-06
 124  (6, 8)     (4, -6)      +0.00000   +0.00000  -0.00000  2.5e-06
 127  (3, -20)   (-10, -3)    -1.77471   -1.77471  -0.00000  2.1e-06
 127  (3, 20)    (10, -3)     +1.77471   +1.77472  -0.00000  3.9e-06
 129  (4, -18)   (-9, -4)     +0.00000   -0.00000  +0.00000  3.6e-06
 129  (4, 18)    (9, -4)      +0.00000   +0.00000  +0.00000  4.3e-06
 133  (2, -22)   (-11, -2)    -2.77475   -2.77475  -0.00000  2.9e-06
 133  (2, 22)    (11, -2)     +2.77475   +2.77475  -0.00000  4.6e-06
 133  (6, -10)   (-5, -6)     -2.77475   -2.77475  -0.00000  1.8e-06
 133  (6, 10)    (5, -6)      +2.77475   +2.77475  -0.00000  3.5e-06
 139  (5, -16)   (-8, -5)     -1.35710   -1.35711  +0.00000  5.0e-06
 139  (5, 16)    (8, -5)      +1.35710   +1.35711  -0.00000  3.8e-06
 144  (0, 24)    (12, 0)      +0.00000   +0.00001  +0.00001  1.3e-05
 144  (6, -12)   (-6, -6)     +1.00000   +1.00001  +0.00000  1.1e-05
 144  (6, 12)    (6, -6)      +1.00000   +1.00000  -0.00000  2.1e-06
 147  (1, -24)   (-12, -1)    +0.00000   +0.00002  -0.00001  1.9e-05
 147  (1, 24)    (12, -1)     +0.00000   +0.00001  -0.00000  1.4e-05
 147  (7, 0)     (0, -7)      +0.00000   -0.00001  +0.00001  1.7e-05
 148  (3, -22)   (-11, -3)    +1.64399   +1.64399  +0.00002  2.1e-05
 148  (3, 22)    (11, -3)     +1.64399   +1.64400  +0.00000  1.4e-05
 148  (4, -20)   (-10, -4)    +0.00000   -0.00001  -0.00001  1.4e-05
 148  (4, 20)    (10, -4)     +0.00000   -0.00001  -0.00000  9.1e-06
 148  (7, -2)    (-1, -7)     +1.64399   +1.64399  -0.00001  6.3e-06
