  s958        H1 = Z/3 + Z              N = 12 p =  61: |Hom(H1, mu_N)| =    36, non-split loci   13 (spurious over single primes [0, 0, 0]; cusp-trivial 2, chi^2 = 1 on the cusp 5); doublet modules     468, with I != 0:     8; re-checked over 181, 241: 308 modules, differing 0; SM pairs with a non-zero count 1160 of 16848; generation-shaped 0; anomaly-free non-zero 0; largest pattern (3, (6, 6, 4), (9, 3, 2), (1, -1, 0, 1, -1, -1)); 1 s
  v2873       H1 = Z/6 + Z              N = 12 p =  61: |Hom(H1, mu_N)| =    72, non-split loci   31 (spurious over single primes [0, 0, 0]; cusp-trivial 5, chi^2 = 1 on the cusp 23); doublet modules    2232, with I != 0:    16; re-checked over 181, 241: 316 modules, differing 0; SM pairs with a non-zero count 12000 of 160704; generation-shaped 0; anomaly-free non-zero 0; largest pattern (1, (0, 0), (3, 3), (1, 1, 1, -1, -1, 1)); 4 s
  t12833      H1 = Z/6 + Z              N = 12 p =  61: |Hom(H1, mu_N)| =    72, non-split loci   39 (spurious over single primes [0, 0, 0]; cusp-trivial 5, chi^2 = 1 on the cusp 23); doublet modules    2808, with I != 0:    80; re-checked over 181, 241: 380 modules, differing 0; SM pairs with a non-zero count 23536 of 202176; generation-shaped 0; anomaly-free non-zero 0; largest pattern (0, (0, 0, 4), (0, 6, 2), (1, -1, 0, 1, -1, -1)); 5 s
  o10_150697  H1 = Z/5 + Z              N = 60 p = 421: |Hom(H1, mu_N)| =   300, non-split loci   13 (spurious over single primes [0, 0, 0]; cusp-trivial 4, chi^2 = 1 on the cusp 9); doublet modules    3900, with I != 0:    16; re-checked over 541, 601: 316 modules, differing 0; SM pairs with a non-zero count 29600 of 1170000; generation-shaped 0; anomaly-free non-zero 0; largest pattern (5, (0, 0, 0), (12, 12, 12), (-1, -1, -1, 0, 0, 0)); 10 s
  o10_150700  H1 = Z                    N = 12 p =  61: |Hom(H1, mu_N)| =    12, non-split loci    5 (spurious over single primes [0, 0, 0]; cusp-trivial 0, chi^2 = 1 on the cusp 1); doublet modules      60, with I != 0:     0; re-checked over 181, 241: 60 modules, differing 0; SM pairs with a non-zero count 0 of 720; generation-shaped 0; anomaly-free non-zero 0; largest pattern None; 0 s
  o10_150701  H1 = Z/16 + Z             N = 48 p = 337: |Hom(H1, mu_N)| =   768, non-split loci  119 (spurious over single primes [0, 0, 0]; cusp-trivial 15, chi^2 = 1 on the cusp 31); doublet modules   91392, with I != 0:   416; re-checked over 433, 577: 716 modules, differing 0; SM pairs with a non-zero count 1915872 of 70189056; generation-shaped 0; anomaly-free non-zero 0; largest pattern (0, (0, 0, 0), (0, 12, 24), (1, 1, 1, -1, -1, 1)); 189 s
  t12837      H1 = Z/4 + Z              N = 12 p =  61: |Hom(H1, mu_N)| =    48, non-split loci    7 (spurious over single primes [0, 0, 0]; cusp-trivial 3, chi^2 = 1 on the cusp 7); doublet modules     336, with I != 0:     0; re-checked over 181, 241: 300 modules, differing 0; SM pairs with a non-zero count 0 of 16128; generation-shaped 0; anomaly-free non-zero 0; largest pattern None; 1 s
  s956        H1 = Z/2 + Z/4 + Z        N = 12 p =  61: |Hom(H1, mu_N)| =    96, non-split loci   15 (spurious over single primes [0, 0, 0]; cusp-trivial 7, chi^2 = 1 on the cusp 15); doublet modules    1440, with I != 0:     0; re-checked over 181, 241: 300 modules, differing 0; SM pairs with a non-zero count 0 of 138240; generation-shaped 0; anomaly-free non-zero 0; largest pattern None; 3 s
  t11365      H1 = Z/2 + Z              N = 12 p =  61: |Hom(H1, mu_N)| =    24, non-split loci    3 (spurious over single primes [0, 0, 0]; cusp-trivial 1, chi^2 = 1 on the cusp 3); doublet modules      72, with I != 0:     0; re-checked over 181, 241: 72 modules, differing 0; SM pairs with a non-zero count 0 of 1728; generation-shaped 0; anomaly-free non-zero 0; largest pattern None; 0 s
  t12835      H1 = Z/6 + Z              N = 12 p =  61: |Hom(H1, mu_N)| =    72, non-split loci   55 (spurious over single primes [0, 0, 0]; cusp-trivial 5, chi^2 = 1 on the cusp 23); doublet modules    3960, with I != 0:   192; re-checked over 181, 241: 492 modules, differing 0; SM pairs with a non-zero count 52224 of 285120; generation-shaped 0; anomaly-free non-zero 0; largest pattern (7, (4, 0, 0), (8, 0, 0), (-1, 1, 0, -1, 1, 1)); 8 s
  m208        H1 = Z/10 + Z             N = 60 p = 421: |Hom(H1, mu_N)| =   600, non-split loci   39 (spurious over single primes [0, 0, 0]; cusp-trivial 9, chi^2 = 1 on the cusp 39); doublet modules   23400, with I != 0:    64; re-checked over 541, 601: 364 modules, differing 0; SM pairs with a non-zero count 243200 of 14040000; generation-shaped 0; anomaly-free non-zero 0; largest pattern (1, (0, 0), (3, 18), (-1, -1, -1, 0, 0, 0)); 24 s
