source,target,source_level,target_level,source_abc,target_abc,multiplicity_history_extensions,distinct_matrix_extension_pairs
"L4:4,5,4","L5:4,4,4",4,5,"[4, 5, 4]","[4, 4, 4]",288,96
"L4:4,5,4","L5:5,7,5",4,5,"[4, 5, 4]","[5, 7, 5]",384,144
"L5:4,4,4","L6:4,2,4",5,6,"[4, 4, 4]","[4, 2, 4]",480,144
"L5:4,4,4","L6:4,3,4",5,6,"[4, 4, 4]","[4, 3, 4]",288,96
"L5:4,4,4","L6:5,6,5",5,6,"[4, 4, 4]","[5, 6, 5]",864,288
"L5:4,4,4","L6:6,7,6",5,6,"[4, 4, 4]","[6, 7, 6]",144,48
"L5:4,4,4","L6:6,8,6",5,6,"[4, 4, 4]","[6, 8, 6]",144,48
"L5:5,7,5","L6:5,6,5",5,6,"[5, 7, 5]","[5, 6, 5]",864,288
"L5:5,7,5","L6:6,7,6",5,6,"[5, 7, 5]","[6, 7, 6]",144,48
"L5:5,7,5","L6:6,8,6",5,6,"[5, 7, 5]","[6, 8, 6]",144,48
"L5:5,7,5","L6:6,9,6",5,6,"[5, 7, 5]","[6, 9, 6]",768,288
"L6:4,2,4","L7:4,-2,4",6,7,"[4, 2, 4]","[4, -2, 4]",384,72
"L6:4,2,4","L7:4,0,4",6,7,"[4, 2, 4]","[4, 0, 4]",768,144
"L6:4,2,4","L7:5,0,5",6,7,"[4, 2, 4]","[5, 0, 5]",192,24
"L6:4,2,4","L7:5,4,5",6,7,"[4, 2, 4]","[5, 4, 5]",960,192
"L6:4,2,4","L7:6,4,6",6,7,"[4, 2, 4]","[6, 4, 6]",480,96
"L6:4,2,4","L7:6,6,6",6,7,"[4, 2, 4]","[6, 6, 6]",480,96
"L6:4,3,4","L7:4,0,4",6,7,"[4, 3, 4]","[4, 0, 4]",480,144
"L6:4,3,4","L7:4,2,4",6,7,"[4, 3, 4]","[4, 2, 4]",288,96
"L6:4,3,4","L7:5,5,5",6,7,"[4, 3, 4]","[5, 5, 5]",864,288
"L6:4,3,4","L7:7,7,7",6,7,"[4, 3, 4]","[7, 7, 7]",144,48
"L6:4,3,4","L7:7,9,7",6,7,"[4, 3, 4]","[7, 9, 7]",144,48
"L6:5,6,5","L7:5,4,5",6,7,"[5, 6, 5]","[5, 4, 5]",1920,288
"L6:5,6,5","L7:5,5,5",6,7,"[5, 6, 5]","[5, 5, 5]",1728,288
"L6:5,6,5","L7:6,4,6",6,7,"[5, 6, 5]","[6, 4, 6]",288,48
"L6:5,6,5","L7:6,6,6",6,7,"[5, 6, 5]","[6, 6, 6]",672,96
"L6:5,6,5","L7:6,8,6",6,7,"[5, 6, 5]","[6, 8, 6]",2880,480
"L6:5,6,5","L7:6,9,6",6,7,"[5, 6, 5]","[6, 9, 6]",1152,192
"L6:5,6,5","L7:7,10,7",6,7,"[5, 6, 5]","[7, 10, 7]",576,96
"L6:5,6,5","L7:7,11,7",6,7,"[5, 6, 5]","[7, 11, 7]",288,48
"L6:6,7,6","L7:6,4,6",6,7,"[6, 7, 6]","[6, 4, 6]",480,144
"L6:6,7,6","L7:7,7,7",6,7,"[6, 7, 6]","[7, 7, 7]",288,96
"L6:6,7,6","L7:7,11,7",6,7,"[6, 7, 6]","[7, 11, 7]",288,96
"L6:6,7,6","L7:8,10,8",6,7,"[6, 7, 6]","[8, 10, 8]",144,48
"L6:6,7,6","L7:9,13,9",6,7,"[6, 7, 6]","[9, 13, 9]",144,48
"L6:6,8,6","L7:6,6,6",6,7,"[6, 8, 6]","[6, 6, 6]",480,144
"L6:6,8,6","L7:7,7,7",6,7,"[6, 8, 6]","[7, 7, 7]",144,48
"L6:6,8,6","L7:7,9,7",6,7,"[6, 8, 6]","[7, 9, 7]",144,48
"L6:6,8,6","L7:7,10,7",6,7,"[6, 8, 6]","[7, 10, 7]",288,96
"L6:6,8,6","L7:8,12,8",6,7,"[6, 8, 6]","[8, 12, 8]",144,48
"L6:6,8,6","L7:9,13,9",6,7,"[6, 8, 6]","[9, 13, 9]",144,48
"L6:6,9,6","L7:6,8,6",6,7,"[6, 9, 6]","[6, 8, 6]",1440,480
"L6:6,9,6","L7:7,10,7",6,7,"[6, 9, 6]","[7, 10, 7]",288,96
"L6:6,9,6","L7:7,11,7",6,7,"[6, 9, 6]","[7, 11, 7]",1152,432
"L6:6,9,6","L7:7,13,7",6,7,"[6, 9, 6]","[7, 13, 7]",384,144
"L6:6,9,6","L7:8,10,8",6,7,"[6, 9, 6]","[8, 10, 8]",144,48
"L6:6,9,6","L7:8,12,8",6,7,"[6, 9, 6]","[8, 12, 8]",144,48
"L7:4,-2,4","L8:4,-6,4",7,8,"[4, -2, 4]","[4, -6, 4]",576,72
"L7:4,-2,4","L8:5,-4,5",7,8,"[4, -2, 4]","[5, -4, 5]",192,24
"L7:4,-2,4","L8:5,0,5",7,8,"[4, -2, 4]","[5, 0, 5]",384,48
"L7:4,-2,4","L8:6,-6,6",7,8,"[4, -2, 4]","[6, -6, 6]",192,24
"L7:4,-2,4","L8:6,-2,6",7,8,"[4, -2, 4]","[6, -2, 6]",576,72
"L7:4,-2,4","L8:6,2,6",7,8,"[4, -2, 4]","[6, 2, 6]",576,72
"L7:4,0,4","L8:4,-6,4",7,8,"[4, 0, 4]","[4, -6, 4]",960,144
"L7:4,0,4","L8:4,-3,4",7,8,"[4, 0, 4]","[4, -3, 4]",1056,144
"L7:4,0,4","L8:4,-2,4",7,8,"[4, 0, 4]","[4, -2, 4]",1056,144
"L7:4,0,4","L8:5,2,5",7,8,"[4, 0, 4]","[5, 2, 5]",2496,384
"L7:4,0,4","L8:6,1,6",7,8,"[4, 0, 4]","[6, 1, 6]",624,96
"L7:4,0,4","L8:6,4,6",7,8,"[4, 0, 4]","[6, 4, 6]",624,96
"L7:4,0,4","L8:7,2,7",7,8,"[4, 0, 4]","[7, 2, 7]",624,96
"L7:4,0,4","L8:7,6,7",7,8,"[4, 0, 4]","[7, 6, 7]",624,96
"L7:4,2,4","L8:4,-2,4",7,8,"[4, 2, 4]","[4, -2, 4]",480,144
"L7:4,2,4","L8:4,1,4",7,8,"[4, 2, 4]","[4, 1, 4]",288,96
"L7:4,2,4","L8:5,4,5",7,8,"[4, 2, 4]","[5, 4, 5]",864,288
"L7:4,2,4","L8:8,7,8",7,8,"[4, 2, 4]","[8, 7, 8]",144,48
"L7:4,2,4","L8:8,10,8",7,8,"[4, 2, 4]","[8, 10, 8]",144,48
"L7:5,0,5","L8:6,-5,6",7,8,"[5, 0, 5]","[6, -5, 6]",192,24
"L7:5,0,5","L8:6,-2,6",7,8,"[5, 0, 5]","[6, -2, 6]",192,24
"L7:5,0,5","L8:6,2,6",7,8,"[5, 0, 5]","[6, 2, 6]",192,24
"L7:5,0,5","L8:7,2,7",7,8,"[5, 0, 5]","[7, 2, 7]",384,48
"L7:5,0,5","L8:7,3,7",7,8,"[5, 0, 5]","[7, 3, 7]",192,24
"L7:5,4,5","L8:5,0,5",7,8,"[5, 4, 5]","[5, 0, 5]",1152,72
"L7:5,4,5","L8:5,2,5",7,8,"[5, 4, 5]","[5, 2, 5]",4608,288
