id,level,abc,charpoly_coeffs,history_count,distinct_matrix_count
"L4:4,5,4",4,"[4, 5, 4]","[1, -4, 5, -4, 1]",96,36
"L5:4,4,4",5,"[4, 4, 4]","[1, -4, 4, -4, 1]",288,96
"L5:5,7,5",5,"[5, 7, 5]","[1, -5, 7, -5, 1]",384,144
"L6:4,2,4",6,"[4, 2, 4]","[1, -4, 2, -4, 1]",480,96
"L6:4,3,4",6,"[4, 3, 4]","[1, -4, 3, -4, 1]",288,96
"L6:5,6,5",6,"[5, 6, 5]","[1, -5, 6, -5, 1]",1728,288
"L6:6,7,6",6,"[6, 7, 6]","[1, -6, 7, -6, 1]",288,96
"L6:6,8,6",6,"[6, 8, 6]","[1, -6, 8, -6, 1]",288,96
"L6:6,9,6",6,"[6, 9, 6]","[1, -6, 9, -6, 1]",768,288
"L7:4,-2,4",7,"[4, -2, 4]","[1, -4, -2, -4, 1]",384,48
"L7:4,0,4",7,"[4, 0, 4]","[1, -4, 0, -4, 1]",1248,192
"L7:4,2,4",7,"[4, 2, 4]","[1, -4, 2, -4, 1]",288,96
"L7:5,0,5",7,"[5, 0, 5]","[1, -5, 0, -5, 1]",192,24
"L7:5,4,5",7,"[5, 4, 5]","[1, -5, 4, -5, 1]",2880,192
"L7:5,5,5",7,"[5, 5, 5]","[1, -5, 5, -5, 1]",2592,288
"L7:6,4,6",7,"[6, 4, 6]","[1, -6, 4, -6, 1]",1248,192
"L7:6,6,6",7,"[6, 6, 6]","[1, -6, 6, -6, 1]",1632,192
"L7:6,8,6",7,"[6, 8, 6]","[1, -6, 8, -6, 1]",4320,480
"L7:6,9,6",7,"[6, 9, 6]","[1, -6, 9, -6, 1]",1152,96
"L7:7,7,7",7,"[7, 7, 7]","[1, -7, 7, -7, 1]",576,192
"L7:7,9,7",7,"[7, 9, 7]","[1, -7, 9, -7, 1]",288,96
"L7:7,10,7",7,"[7, 10, 7]","[1, -7, 10, -7, 1]",1152,192
"L7:7,11,7",7,"[7, 11, 7]","[1, -7, 11, -7, 1]",1728,528
"L7:7,13,7",7,"[7, 13, 7]","[1, -7, 13, -7, 1]",384,144
"L7:8,10,8",7,"[8, 10, 8]","[1, -8, 10, -8, 1]",288,96
"L7:8,12,8",7,"[8, 12, 8]","[1, -8, 12, -8, 1]",288,96
"L7:9,13,9",7,"[9, 13, 9]","[1, -9, 13, -9, 1]",288,96
"L8:4,-6,4",8,"[4, -6, 4]","[1, -4, -6, -4, 1]",1536,144
"L8:4,-3,4",8,"[4, -3, 4]","[1, -4, -3, -4, 1]",1056,96
"L8:4,-2,4",8,"[4, -2, 4]","[1, -4, -2, -4, 1]",1536,192
"L8:4,1,4",8,"[4, 1, 4]","[1, -4, 1, -4, 1]",288,96
"L8:5,-4,5",8,"[5, -4, 5]","[1, -5, -4, -5, 1]",192,24
"L8:5,0,5",8,"[5, 0, 5]","[1, -5, 0, -5, 1]",1536,48
"L8:5,2,5",8,"[5, 2, 5]","[1, -5, 2, -5, 1]",9984,384
"L8:5,4,5",8,"[5, 4, 5]","[1, -5, 4, -5, 1]",3456,288
"L8:6,-6,6",8,"[6, -6, 6]","[1, -6, -6, -6, 1]",192,24
"L8:6,-5,6",8,"[6, -5, 6]","[1, -6, -5, -6, 1]",192,12
"L8:6,-2,6",8,"[6, -2, 6]","[1, -6, -2, -6, 1]",1728,168
"L8:6,1,6",8,"[6, 1, 6]","[1, -6, 1, -6, 1]",2112,192
"L8:6,2,6",8,"[6, 2, 6]","[1, -6, 2, -6, 1]",3840,168
"L8:6,4,6",8,"[6, 4, 6]","[1, -6, 4, -6, 1]",2880,192
"L8:6,6,6",8,"[6, 6, 6]","[1, -6, 6, -6, 1]",6912,240
"L8:6,7,6",8,"[6, 7, 6]","[1, -6, 7, -6, 1]",11520,528
"L8:6,8,6",8,"[6, 8, 6]","[1, -6, 8, -6, 1]",2880,96
"L8:7,2,7",8,"[7, 2, 7]","[1, -7, 2, -7, 1]",4032,432
"L8:7,3,7",8,"[7, 3, 7]","[1, -7, 3, -7, 1]",768,48
"L8:7,4,7",8,"[7, 4, 7]","[1, -7, 4, -7, 1]",576,48
"L8:7,6,7",8,"[7, 6, 7]","[1, -7, 6, -7, 1]",1920,192
"L8:7,8,7",8,"[7, 8, 7]","[1, -7, 8, -7, 1]",7680,384
"L8:7,10,7",8,"[7, 10, 7]","[1, -7, 10, -7, 1]",10176,768
"L8:7,11,7",8,"[7, 11, 7]","[1, -7, 11, -7, 1]",1440,96
"L8:8,6,8",8,"[8, 6, 8]","[1, -8, 6, -8, 1]",1824,288
"L8:8,7,8",8,"[8, 7, 8]","[1, -8, 7, -8, 1]",576,192
"L8:8,9,8",8,"[8, 9, 8]","[1, -8, 9, -8, 1]",672,48
"L8:8,10,8",8,"[8, 10, 8]","[1, -8, 10, -8, 1]",3360,336
"L8:8,11,8",8,"[8, 11, 8]","[1, -8, 11, -8, 1]",1728,192
"L8:8,12,8",8,"[8, 12, 8]","[1, -8, 12, -8, 1]",4512,480
"L8:8,13,8",8,"[8, 13, 8]","[1, -8, 13, -8, 1]",2688,672
"L8:8,15,8",8,"[8, 15, 8]","[1, -8, 15, -8, 1]",1824,336
"L8:8,16,8",8,"[8, 16, 8]","[1, -8, 16, -8, 1]",1344,240
"L8:8,17,8",8,"[8, 17, 8]","[1, -8, 17, -8, 1]",384,72
"L8:9,7,9",8,"[9, 7, 9]","[1, -9, 7, -9, 1]",192,48
"L8:9,10,9",8,"[9, 10, 9]","[1, -9, 10, -9, 1]",1920,192
"L8:9,11,9",8,"[9, 11, 9]","[1, -9, 11, -9, 1]",384,48
"L8:9,14,9",8,"[9, 14, 9]","[1, -9, 14, -9, 1]",1152,192
"L8:9,15,9",8,"[9, 15, 9]","[1, -9, 15, -9, 1]",576,48
"L8:9,18,9",8,"[9, 18, 9]","[1, -9, 18, -9, 1]",432,96
"L8:10,11,10",8,"[10, 11, 10]","[1, -10, 11, -10, 1]",576,192
"L8:10,13,10",8,"[10, 13, 10]","[1, -10, 13, -10, 1]",288,96
