class  0: nv=32 solutions=10 isolated=0 on-family=10 iso-field-degrees=[]
class  1: nv=33 solutions=0 isolated=0 on-family=0 iso-field-degrees=[]
class  2: nv=33 solutions=0 isolated=0 on-family=0 iso-field-degrees=[]
class  3: nv=33 solutions=1 isolated=1 on-family=0 iso-field-degrees=[]
class  4: nv=33 solutions=0 isolated=0 on-family=0 iso-field-degrees=[]
class  5: nv=33 solutions=31 isolated=0 on-family=31 iso-field-degrees=[]
class  6: nv=33 solutions=2 isolated=2 on-family=0 iso-field-degrees=[]
class  7: nv=33 solutions=4 isolated=4 on-family=0 iso-field-degrees=[]
class  8: nv=33 solutions=3 isolated=3 on-family=0 iso-field-degrees=[]
class  9: nv=33 solutions=1 isolated=1 on-family=0 iso-field-degrees=[]
class 10: nv=33 solutions=1 isolated=1 on-family=0 iso-field-degrees=[]
class 11: nv=33 solutions=2 isolated=2 on-family=0 iso-field-degrees=[]
class 12: nv=33 solutions=0 isolated=0 on-family=0 iso-field-degrees=[]
class 13: nv=33 solutions=0 isolated=0 on-family=0 iso-field-degrees=[]
CENSUS DONE
