node,alphabet_size,det_I_minus_A,smith_diagonal,charge_dimension_mod_11,normalized_charge
NEW_0,4,-11,"[1, 1, 1, 11]",1,"[1, 6, 9, 1]"
NEW_1,4,-11,"[1, 1, 1, 11]",1,"[10, 2, 4, 1]"
NEW_10,4,-11,"[1, 1, 1, 11]",1,"[2, 6, 4, 1]"
NEW_11,4,-11,"[1, 1, 1, 11]",1,"[7, 9, 7, 1]"
NEW_2,4,-11,"[1, 1, 1, 11]",1,"[5, 8, 5, 1]"
S_A,4,-11,"[1, 1, 1, 11]",1,"[6, 9, 1, 1]"
S_B,4,-11,"[1, 1, 1, 11]",1,"[6, 8, 3, 1]"
S_Bab,4,-11,"[1, 1, 1, 11]",1,"[6, 1, 8, 1]"
S_a,4,-11,"[1, 1, 1, 11]",1,"[8, 2, 4, 1]"
S_aA,5,-11,"[1, 1, 1, 1, 11]",1,"[5, 5, 10, 3, 1]"
S_b,4,-11,"[1, 1, 1, 11]",1,"[6, 3, 7, 1]"
S_bABab,5,-11,"[1, 1, 1, 1, 11]",1,"[10, 8, 10, 6, 1]"
