delta_charge,core_length,source_core,target_core,delta_trace_H,delta_trace_H2
8,3,ABa,Bab,1/5,7/25
3,3,Bab,ABa,-1/5,-7/25
10,3,Bab,abA,1/5,1/5
1,3,abA,Bab,-1/5,-1/5
9,9,ABabABabA,BaAabAABa,1/5,9/25
2,9,BaAabAABa,ABabABabA,-1/5,-9/25
5,14,ABabABabAABaAB,BaAabAABabABaA,3/5,21/25
6,14,BaAabAABabABaA,ABabABabAABaAB,-3/5,-21/25
3,15,AabAABaABabABaA,bABabAABaABabAB,-2/5,-14/25
8,15,bABabAABaABabAB,AabAABaABabABaA,2/5,14/25
7,16,ABabABaAabAABaAB,bABaAabAABabABaA,2/5,12/25
4,16,bABaAabAABabABaA,ABabABaAabAABaAB,-2/5,-12/25
