prefix_length,source,target,source_q,target_q
1,K1_N0,K1_N3,1,1
1,K1_N1,K1_N1,1,1
1,K1_N2,K1_N4,2,2
1,K1_N3,K1_N3,1,1
1,K1_N4,K1_N2,2,2
1,S_A,S_aA,1,1
1,S_B,K1_N0,1,1
1,S_Bab,S_aA,1,1
1,S_a,S_a,1,1
1,S_aA,K1_N1,1,1
1,S_b,K1_N1,1,1
1,S_bABab,K1_N2,2,2
2,K2_N0,S_aA,1,1
2,K2_N1,S_a,1,1
2,K2_N2,K2_N3,2,2
2,K2_N3,K2_N4,2,2
2,K2_N4,K2_N4,2,2
2,S_A,K2_N0,1,1
2,S_B,S_B,1,1
2,S_Bab,K2_N0,1,1
2,S_a,K2_N1,1,1
2,S_aA,K2_N0,1,1
2,S_b,S_aA,1,1
2,S_bABab,K2_N2,2,2
3,K3_N0,K3_N0,1,1
3,K3_N1,S_B,1,1
3,K3_N2,S_a,1,1
3,K3_N3,K3_N3,2,2
3,S_A,K3_N0,1,1
3,S_B,K3_N1,1,1
3,S_Bab,K3_N0,1,1
3,S_a,K3_N2,1,1
3,S_aA,S_aA,1,1
3,S_b,K3_N0,1,1
3,S_bABab,K3_N3,2,2
