prefix_length,node_count,fixed_point_count,nontrivial_cycle_lengths,nontrivial_cycle_q_types,sigma_preperiod,sigma_cycle_length,all_steps_exactly_certified
1,12,3,[2],"[[2, 2]]",0,1,True
2,12,2,"[2, 2]","[[1, 1], [1, 1]]",0,2,True
3,11,3,"[2, 2]","[[1, 1], [1, 1]]",0,2,True
4,10,4,[2],"[[1, 1]]",0,1,True
5,12,3,[3],"[[1, 1, 1]]",0,1,True
6,10,4,[],[],0,1,True
7,12,3,[4],"[[2, 2, 2, 2]]",1,1,True
8,11,1,"[2, 2, 3]","[[1, 1], [1, 1], [2, 2, 2]]",0,2,True
9,12,1,"[2, 2, 3]","[[1, 1], [1, 1], [2, 2, 2]]",0,2,True
10,12,1,"[2, 2, 3]","[[1, 1], [1, 1], [2, 2, 2]]",0,2,True
11,12,2,"[2, 3]","[[1, 1], [2, 2, 2]]",0,2,True
12,11,1,"[2, 2, 2]","[[1, 1], [1, 1], [2, 2]]",0,2,True
