initialization_family,cumulative_starts,distinct_recovered_support_points,distinct_recovered_irreducible_support_points
standard,300,152,146
standard,600,187,181
standard,900,205,199
standard,1200,219,213
standard,1500,225,219
standard,1800,237,231
standard,2100,240,234
standard,2400,241,235
standard,2700,243,237
standard,3000,246,240
standard,3300,247,241
standard,3600,247,241
standard,3900,247,241
standard,4200,249,243
standard,4500,250,244
standard,4800,250,244
standard,5100,251,245
standard,5400,251,245
standard,5700,251,245
standard,6000,251,245
wide,6300,252,246
wide,6600,252,246
wide,6900,252,246
wide,7200,252,246
wide,7500,252,246
wide,7800,253,247
wide,8100,253,247
wide,8400,253,247
wide,8700,253,247
wide,9000,253,247
wide,9300,253,247
wide,9600,253,247
