atlas_id,root_index,character_class,local_support_status,local_scheme_status,certification,trace_a,trace_b,trace_A,trace_B,kappa_ab,kappa_aA,kappa_aB,kappa_bA,kappa_bB,kappa_AB,min_complex_jacobian_singular_value
I000,0,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-4.130813133638947+4.903401715243064e-18j),(2.1735175282103967+8.990059006754861e-20j),(0.5658575982700593+3.0376346839631697e-19j),(-1.0475902340988104-7.38093964977057e-19j),(2.02427052580601-2.856463937039716e-18j),(14.032565378626796-3.88406160011056e-17j),(11.59209182447111-3.5360891224017846e-17j),(5.09533944346099-1.2930483274561406e-18j),(6.169526824718254-3.783410852100982e-18j),(2.251853372761861+8.42067224969261e-19j),0.039917345272440126
I001,1,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-3.708129342373632+7.547427341790755e-23j),(-0.32351270566119544-9.226301788437829e-24j),(0.0315720537637556+3.3336933688503387e-23j),(-0.1486453127241366-2.9585641337800563e-23j),(13.882775987026932-3.382334025750567e-22j),(11.755913052156224-5.6968998934680025e-22j),(12.561112561784988-6.270801421632364e-22j),(3.5655867998372246+1.5608631382507822e-22j),(5.605041793585818+2.375175996881381e-22j),(2.2981036623651203+5.711932877076653e-23j),0.015483833869744003
I002,2,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-3.4229080887939234-3.977827959133331e-24j),(-0.3569871439896361+4.949007635755855e-25j),(0.1579090945978826-1.6989791979053558e-24j),(-0.26071300642127393+1.477403946846878e-24j),(12.637618339789299+1.819204180687546e-23j),(9.668288789833666+2.806991823645818e-23j),(10.220485850094015+3.234554793335209e-23j),(4.002195229650853-2.8337251453450243e-24j),(6.356781750855834-6.31097462335444e-24j),(2.3397642068406235+2.314475189639025e-24j),0.012819792670916945
I003,3,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-3.069890578165344+1.4561997696113207e-21j),(-1.8532355025607021-3.595824400808336e-21j),(-0.31272736257083866-4.703652693357687e-22j),(1.2727661464615532+1.3572612135317359e-21j),(3.2022429829843766-2.662102299737425e-20j),(7.920055365361234-4.7272331888399474e-20j),(7.047636436873944-7.815465430335335e-20j),(2.1310520383412443-1.2305767755513047e-20j),(2.1344592470309074-9.98975838461233e-21j),(2.454797268918335-4.558705204028845e-20j),0.02287470090045997
I004,4,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-2.74685001003238-0.6984123959973018j),(1.379574288126049-0.3493332183254369j),(0.08592072266786104-1.066377558022701j),(0.5901380700846509+0.1507983332607872j),(1.5960464982581346+1.9838682166752544j),(-0.17750247499851568+2.177966617074709j),(6.677437789452108+4.913365556142002j),(1.307404124406811-0.12873396112513813j),(1.4071084554147877-1.2865312702784624j),(-2.0358546088882905-0.39159879235046585j),0.000600894224221996
I005,5,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-2.74685001003238+0.6984123959973018j),(1.379574288126049+0.3493332183254369j),(0.08592072266786104+1.066377558022701j),(0.5901380700846509-0.1507983332607872j),(1.5960464982581346-1.9838682166752544j),(-0.17750247499851568-2.177966617074709j),(6.677437789452108-4.913365556142002j),(1.307404124406811+0.12873396112513813j),(1.4071084554147877+1.2865312702784624j),(-2.0358546088882905+0.39159879235046585j),0.000600894224221996
I006,6,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-2.587136320863004-3.187252928244348j),(0.1805922670292257-0.20253496311047714j),(-1.3452494099049144+1.143204502026124j),(8.469274915554323+0.18681972954640635j),(-6.150034111784684+16.90526531122416j),(6.644332793879791+3.985131183945599j),(-7.222653228889982+43.992799554271386j),(-1.6089718128594672-3.3108929661884523j),(127.79078158501065+20.204766066237628j),(-62.38047744848115-27.6444804916521j),0.0052672588257721125
I007,7,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-2.587136320863004+3.187252928244348j),(0.1805922670292257+0.20253496311047714j),(-1.3452494099049144-1.143204502026124j),(8.469274915554323-0.18681972954640635j),(-6.150034111784684-16.90526531122416j),(6.644332793879791-3.985131183945599j),(-7.222653228889982-43.992799554271386j),(-1.6089718128594672+3.3108929661884523j),(127.79078158501065-20.204766066237628j),(-62.38047744848115+27.6444804916521j),0.0052672588257721125
I008,8,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-2.3603808057250313+1.5631116230128807e-18j),(-1.3041182534688451-4.906111610628576e-20j),(-0.8165129928038615-6.420220226973203e-19j),(1.1941352964312606-1.367006952111259e-19j),(3.231218914464992+1.4141082677815937e-18j),(3.362615141881524-8.307900783403647e-18j),(3.263713138626189-1.3616141803434007e-17j),(3.4568058907960912+6.795348604133115e-17j),(4.4122619304699215+9.121306043784684e-17j),(2.4265346198413935+7.303590929638513e-17j),0.021691557095684162
I009,9,IRREDUCIBLE,ISOLATED,REDUCED_SIMPLE,COMPLEX_INTERVAL_KRAWCZYK,(-2.163181169974281-1.4214888756249733j),(-0.8571171679626663+1.006736192250095j),(-0.14189245161426473-0.4964587558539922j),(-0.256879067545336+1.7720875296910388j),(-2.120933003278319+6.080115045823322j),(-0.4838332487504218+6.414679419931128j),(-3.348304064300705+10.244870143897701j),(-1.9668634643154934-3.6939978203234425j),(-11.979081430155905-1.2319544040393975j),(-0.5336676877760216-2.8345553342714305j),0.033754578385102076
