source,target,source_charge,transported_charge,target_charge,edge_scalar_mod_11,intertwining_verified
NEW_0,NEW_11,"[1, 6, 9, 1]","[1, 6, 1, 8]","[7, 9, 7, 1]",8,True
NEW_1,NEW_1,"[10, 2, 4, 1]","[10, 2, 4, 1]","[10, 2, 4, 1]",1,True
NEW_10,NEW_2,"[2, 6, 4, 1]","[2, 1, 2, 7]","[5, 8, 5, 1]",7,True
NEW_11,NEW_11,"[7, 9, 7, 1]","[7, 9, 7, 1]","[7, 9, 7, 1]",1,True
NEW_2,NEW_10,"[5, 8, 5, 1]","[5, 4, 10, 8]","[2, 6, 4, 1]",8,True
S_A,S_aA,"[6, 9, 1, 1]","[8, 8, 5, 7, 6]","[5, 5, 10, 3, 1]",6,True
S_B,NEW_0,"[6, 8, 3, 1]","[6, 3, 10, 6]","[1, 6, 9, 1]",6,True
S_Bab,S_aA,"[6, 1, 8, 1]","[8, 8, 5, 7, 6]","[5, 5, 10, 3, 1]",6,True
S_a,S_a,"[8, 2, 4, 1]","[8, 2, 4, 1]","[8, 2, 4, 1]",1,True
S_aA,NEW_1,"[5, 5, 10, 3, 1]","[10, 2, 4, 1]","[10, 2, 4, 1]",1,True
S_b,NEW_1,"[6, 3, 7, 1]","[2, 7, 3, 9]","[10, 2, 4, 1]",9,True
S_bABab,NEW_2,"[10, 8, 10, 6, 1]","[7, 9, 7, 8]","[5, 8, 5, 1]",8,True
