# N3 grid_table.txt -- written incrementally as computed (per task instructions)
# kappa  mu  box_dim_depth14(point_estimate)  jitter_mean10  jitter_std10(ddof=1)  t_spectrum_s
0.80  1.095445  1.069059  1.031470  0.011670  5.14
0.85  1.072381  1.064952  1.031599  0.014505  5.29
0.90  1.048809  1.072667  1.033767  0.010894  5.20
0.95  1.024695  1.078964  1.037839  0.014083  4.91
1.00  1.000000  1.074765  1.025056  0.007021  4.99
1.05  0.974679  1.067865  1.028215  0.013709  5.24
1.10  0.948683  1.080426  1.034061  0.013750  5.49
1.15  0.921954  1.072813  1.036075  0.017777  5.32
1.20  0.894427  1.069359  1.039207  0.012661  5.79
1.25  0.866025  1.073742  1.032488  0.016505  4.76
1.30  0.836660  1.064406  1.034394  0.020934  4.97
1.35  0.806226  1.062220  1.020535  0.015472  4.94
1.40  0.774597  1.074929  1.022025  0.017729  5.10
1.45  0.741620  1.075711  1.019974  0.011110  5.56
1.50  0.707107  1.071708  1.025534  0.012682  5.40
1.55  0.670820  1.065758  1.013677  0.013180  5.61
