name	status	vol	deg	disc	sig	field_at	reason
m004(5,1)	ARITH	0.9813688288922322	4	-283	(2, 1)	(300, 12)	
m004(6,1)	ARITH	1.2844853004683539	3	-59	(1, 1)	(300, 12)	
m004(7,1)	NON-ARITH	1.4637766449272382	6	50173	(2, 2)	(300, 12)	r2=2 (>1 complex place)
m004(8,1)	ARITH	1.583166660624813	3	-31	(1, 1)	(300, 12)	
m004(9,1)	NON-ARITH	1.6678044526584137	7	3752872	(3, 2)	(300, 12)	r2=2 (>1 complex place)
m004(10,1)	NON-ARITH	1.730337923740888	5	7333	(1, 2)	(300, 12)	r2=2 (>1 complex place)
m004(11,1)	NON-ARITH	1.7779668810064035	10	-51530072563	(4, 3)	(300, 12)	r2=3 (>1 complex place)
m004(12,1)	NON-ARITH	1.8151189848803004	5	4757	(1, 2)	(300, 12)	r2=2 (>1 complex place)
m004(13,1)	NON-ARITH	1.8446682308154332	12	67532217188773	(4, 4)	(300, 12)	r2=4 (>1 complex place)
m004(14,1)	NON-ARITH	1.8685574450884423	7	7552421	(3, 2)	(300, 12)	r2=2 (>1 complex place)
m004(15,1)	NON-ARITH	1.8881428030590433	13	9755751193268072	(5, 4)	(500, 20)	r2=4 (>1 complex place)
m004(16,1)	NON-ARITH	1.9043961704286834	7	-716591	(1, 3)	(300, 12)	r2=3 (>1 complex place)
m004(17,1)	NON-ARITH	1.9180295606083368	16	-703484023693050733363	(6, 5)	(500, 20)	r2=5 (>1 complex place)
m004(18,1)	NON-ARITH	1.929574590423932	9	-15711450463	(3, 3)	(300, 12)	r2=3 (>1 complex place)
m004(19,1)	NON-ARITH	1.9394347947229893	18	2658952024617004875309277	(6, 6)	(500, 20)	r2=6 (>1 complex place)
m004(20,1)	NON-ARITH	1.9479209822294512	9	-701531191	(3, 3)	(300, 12)	r2=3 (>1 complex place)
m004(21,1)	NON-ARITH	1.955275673969048	19	598345493776480516960360072	(7, 6)	(500, 20)	r2=6 (>1 complex place)
m004(22,1)	NON-ARITH	1.9616903311012286	11	13428281046289	(3, 4)	(300, 12)	r2=4 (>1 complex place)
m004(23,1)	NON-ARITH	1.967317712956457	22	-125152768925837512904984470457107	(8, 7)	(1000, 30)	r2=7 (>1 complex place)
m004(24,1)	NON-ARITH	1.9722808808387553	11	1645720539301	(3, 4)	(300, 12)	r2=4 (>1 complex place)
m004(25,1)	NON-ARITH	1.976679850639941	24	954102839591048923800906702792301357	(8, 8)	(1000, 30)	r2=8 (>1 complex place)
m004(26,1)	NON-ARITH	1.9805965711971327	13	44875351088414201	(5, 4)	(500, 20)	r2=4 (>1 complex place)
m004(27,1)	NON-ARITH	1.9840986933022084	25	294449120885223578800335386812587729608	(9, 8)	(1000, 30)	r2=8 (>1 complex place)
m004(28,1)	NON-ARITH	1.9872424537453584	13	-1521615345087011	(3, 5)	(500, 20)	r2=5 (>1 complex place)
m004(29,1)	NON-ARITH	1.9900749040035703	28	-134994844775722067529465751090318457789512267	(10, 9)	(1000, 30)	r2=9 (>1 complex place)
m004(30,1)	NON-ARITH	1.9926356482549639	15	-310644509088468228887	(5, 5)	(500, 20)	r2=5 (>1 complex place)
m004(31,1)	NON-ARITH	1.9949582102694383	30	1735179012447223713690371271789568779928721508637	(10, 10)	(1000, 30)	r2=10 (>1 complex place)
m004(32,1)	NON-ARITH	1.9970711169395492	15	-5086447887521039623	(5, 5)	(500, 20)	r2=5 (>1 complex place)
m004(33,1)	NON-ARITH	1.9989987635525206	31	682813861363658663643842926180601468662576668211816	(11, 10)	(2000, 45)	r2=10 (>1 complex place)
m004(34,1)	NON-ARITH	2.0007621095620785	17	713897798715473549459581	(5, 6)	(500, 20)	r2=6 (>1 complex place)
m004(35,1)	NON-ARITH	2.0023792417099306	34	-582777736732408399426054540655340319978563362966443051027	(12, 11)	(2000, 45)	r2=11 (>1 complex place)
m004(36,1)	NON-ARITH	2.0038658325827527	17	36884008531026531651089	(5, 6)	(500, 20)	r2=6 (>1 complex place)
m004(37,1)	NON-ARITH	2.0052355161814193	36	11348885621739977080356775696263886664387773185044574830849461	(12, 12)	(2000, 45)	r2=12 (>1 complex place)
m004(38,1)	NON-ARITH	2.006500197202916	19	5053971972814663780258324061	(7, 6)	(500, 20)	r2=6 (>1 complex place)
m004(39,1)	NON-ARITH	2.0076703070524755	37	5437253364450862674273584278102206055844888050868200184651872808	(13, 12)	(2000, 45)	r2=12 (>1 complex place)
m004(40,1)	NON-ARITH	2.0087550168005293	19	-87830204928743456691996851	(5, 7)	(500, 20)	r2=7 (>1 complex place)
m004(1,2)	NON-ARITH	1.3985088841508067	7	-7215127	(5, 1)	(300, 12)	one complex place but quaternion algebra split at a real place
m004(3,2)	NON-ARITH	1.4406990067273646	6	-365263	(4, 1)	(300, 12)	one complex place but quaternion algebra split at a real place
m004(5,2)	NON-ARITH	1.5294773294300266	7	-3998639	(5, 1)	(300, 12)	one complex place but quaternion algebra split at a real place
m004(7,2)	NON-ARITH	1.6496097158086633	7	-3685907	(5, 1)	(300, 12)	one complex place but quaternion algebra split at a real place
m004(9,2)	NON-ARITH	1.7520920646532676	7	5294189	(3, 2)	(300, 12)	r2=2 (>1 complex place)
m004(11,2)	NON-ARITH	1.8226748247736366	10	-68421936871	(4, 3)	(300, 12)	r2=3 (>1 complex place)
m004(13,2)	NON-ARITH	1.8706811300523933	12	20524902768913	(4, 4)	(300, 12)	r2=4 (>1 complex place)
m004(15,2)	NON-ARITH	1.9042801880386486	13	12974445500365597	(5, 4)	(500, 20)	r2=4 (>1 complex place)
m004(17,2)	NON-ARITH	1.9285415600005282	16	-997534563442341621667	(6, 5)	(500, 20)	r2=5 (>1 complex place)
m004(19,2)	NON-ARITH	1.9465562024325502	18	2009339164882967929258069	(6, 6)	(500, 20)	r2=6 (>1 complex place)
m004(21,2)	NON-ARITH	1.960259462909506	19	754306031052962729113247621	(7, 6)	(500, 20)	r2=6 (>1 complex place)
m004(23,2)	NON-ARITH	1.970902795412557	22	-171454226930141891461157451141967	(8, 7)	(1000, 30)	r2=7 (>1 complex place)
m004(25,2)	NON-ARITH	1.9793204587774127	24	851759959170855937130982721638482497	(8, 8)	(1000, 30)	r2=8 (>1 complex place)
m004(1,3)	NON-ARITH	1.7319827787257585	11	18526263694969	(7, 2)	(300, 12)	r2=2 (>1 complex place)
m004(2,3)	NON-ARITH	1.7371238806563716	6	-753079	(4, 1)	(300, 12)	one complex place but quaternion algebra split at a real place
m004(4,3)	NON-ARITH	1.7571260291884514	5	-4903	(3, 1)	(300, 12)	one complex place but quaternion algebra split at a real place
m004(5,3)	NON-ARITH	1.7714166580947142	11	13892528391821	(7, 2)	(300, 12)	r2=2 (>1 complex place)
m004(7,3)	NON-ARITH	1.805827213573147	11	11259183017377	(7, 2)	(300, 12)	r2=2 (>1 complex place)
m004(8,3)	NON-ARITH	1.8243443222029117	5	-9759	(3, 1)	(300, 12)	one complex place but quaternion algebra split at a real place
m004(10,3)	NON-ARITH	1.8599888271712892	6	-1014119	(4, 1)	(300, 12)	one complex place but quaternion algebra split at a real place
m004(11,3)	NON-ARITH	1.8760527865402705	11	9505105558637	(7, 2)	(300, 12)	r2=2 (>1 complex place)
m004(13,3)	NON-ARITH	1.903695219196488	12	-332057990366203	(6, 3)	(300, 12)	r2=3 (>1 complex place)
m004(14,3)	NON-ARITH	1.9153312527404167	7	28847933	(3, 2)	(300, 12)	r2=2 (>1 complex place)
m004(16,3)	NON-ARITH	1.934814210234001	7	6299409	(3, 2)	(300, 12)	r2=2 (>1 complex place)
m004(17,3)	NON-ARITH	1.9429355894727163	16	-891057454061119809523	(6, 5)	(500, 20)	r2=5 (>1 complex place)
m004(19,3)	NON-ARITH	1.95657028671057	18	-2421377479473263682331043	(8, 5)	(500, 20)	r2=5 (>1 complex place)
m004(20,3)	NON-ARITH	1.9622986149813113	9	-4503464947	(3, 3)	(300, 12)	r2=3 (>1 complex place)
m004(22,3)	NON-ARITH	1.9720174803416062	11	-2494688128507	(5, 3)	(300, 12)	r2=3 (>1 complex place)
m004(23,3)	NON-ARITH	1.976149753168462	22	-222921040863021739057376091534323	(8, 7)	(1000, 30)	r2=7 (>1 complex place)
m004(25,3)	NON-ARITH	1.9832443988145982	24	118981343221343968020783338737560013	(8, 8)	(1000, 30)	r2=8 (>1 complex place)
m004(1,4)	NON-ARITH	1.8581381571430409	15	-260317390949631266159	(9, 3)	(500, 20)	r2=3 (>1 complex place)
m004(3,4)	NON-ARITH	1.863442671618347	14	-3829674634171199699	(8, 3)	(500, 20)	r2=3 (>1 complex place)
m004(5,4)	NON-ARITH	1.8734817716448977	15	-219435253082673944983	(9, 3)	(500, 20)	r2=3 (>1 complex place)
m004(7,4)	NON-ARITH	1.8871018048297306	15	-190196790964970101531	(9, 3)	(500, 20)	r2=3 (>1 complex place)
m004(9,4)	NON-ARITH	1.9026876676639761	14	-2546015597697725159	(8, 3)	(500, 20)	r2=3 (>1 complex place)
m004(11,4)	NON-ARITH	1.9185503696399926	15	-141800080350349006931	(9, 3)	(500, 20)	r2=3 (>1 complex place)
m004(13,4)	NON-ARITH	1.9334036965514643	15	-126655315779811384523	(9, 3)	(500, 20)	r2=3 (>1 complex place)
m004(15,4)	NON-ARITH	1.9465741772969432	14	-2219744047073062847	(8, 3)	(500, 20)	r2=3 (>1 complex place)
m004(17,4)	NON-ARITH	1.957887801705361	16	6345036997463916551981	(8, 4)	(1000, 30)	r2=4 (>1 complex place)
m004(19,4)	NON-ARITH	1.9674508574654754	18	-19573289986066375867025147	(8, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(21,4)	NON-ARITH	1.975482096579652	19	973558977983435322431823113	(7, 6)	(1000, 30)	r2=6 (>1 complex place)
m004(23,4)	NON-ARITH	1.9822214471256627	22	-5271832909847917764080154901039	(8, 7)	(1000, 30)	r2=7 (>1 complex place)
m004(25,4)	NON-ARITH	1.9878903137903552	24	-3011672312908133510289282539083233887	(10, 7)	(1000, 30)	r2=7 (>1 complex place)
m004(1,5)	NON-ARITH	1.9186023775528376	19	12156010112718540827405645921	(11, 4)	(500, 20)	r2=4 (>1 complex place)
m004(2,5)	NON-ARITH	1.9195203611802905	10	2561395536841	(6, 2)	(300, 12)	r2=2 (>1 complex place)
m004(3,5)	NON-ARITH	1.921026910608075	18	116909105110840324872131752	(10, 4)	(500, 20)	r2=4 (>1 complex place)
m004(4,5)	NON-ARITH	1.9230873317343302	9	3435220133	(5, 2)	(300, 12)	r2=2 (>1 complex place)
m004(6,5)	NON-ARITH	1.9286680638786349	10	2561632524397	(6, 2)	(300, 12)	r2=2 (>1 complex place)
m004(7,5)	NON-ARITH	1.932060680356712	19	9833088757703185330932392137	(11, 4)	(500, 20)	r2=4 (>1 complex place)
m004(8,5)	NON-ARITH	1.9357565416278437	9	4068855253	(5, 2)	(300, 12)	r2=2 (>1 complex place)
m004(9,5)	NON-ARITH	1.9396768915281575	18	87677233684899408198736552	(10, 4)	(500, 20)	r2=4 (>1 complex place)
m004(11,5)	NON-ARITH	1.9478817102192092	19	7799853455018517338353565909	(11, 4)	(1000, 30)	r2=4 (>1 complex place)
m004(12,5)	NON-ARITH	1.9520249117926944	9	5663311589	(5, 2)	(300, 12)	r2=2 (>1 complex place)
m004(13,5)	NON-ARITH	1.9561154943799077	19	7017919505141936433956739053	(11, 4)	(1000, 30)	r2=4 (>1 complex place)
m004(14,5)	NON-ARITH	1.960106681707984	10	2697256050989	(6, 2)	(300, 12)	r2=2 (>1 complex place)
m004(16,5)	NON-ARITH	1.967657330834634	9	11269664713	(5, 2)	(300, 12)	r2=2 (>1 complex place)
m004(17,5)	NON-ARITH	1.9711742299496722	19	6239670906321901655615868193	(11, 4)	(1000, 30)	r2=4 (>1 complex place)
m004(18,5)	NON-ARITH	1.9745039136091416	10	3808644425893	(6, 2)	(300, 12)	r2=2 (>1 complex place)
m004(19,5)	NON-ARITH	1.9776430099734417	19	7234678935924830935836741469	(11, 4)	(1000, 30)	r2=4 (>1 complex place)
m004(21,5)	NON-ARITH	1.98335746740471	19	-3815621907788782051147360088	(9, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(22,5)	NON-ARITH	1.9859441335530976	11	-156967489169159	(5, 3)	(300, 12)	r2=3 (>1 complex place)
m004(23,5)	NON-ARITH	1.9883610027459004	22	1715662112191509992023453934905421	(10, 6)	(2000, 45)	r2=6 (>1 complex place)
m004(24,5)	NON-ARITH	1.9906172658110388	11	-21568305862099	(5, 3)	(300, 12)	r2=3 (>1 complex place)
m004(1,6)	NON-ARITH	1.952062075413471	23	-1433831967693902043188942847393932039	(13, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(5,6)	NON-ARITH	1.9557091461499039	23	-1324358728374193803405549497848648927	(13, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(7,6)	NON-ARITH	1.9590877821525716	23	-1231688467026602472530842426891483331	(13, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(11,6)	NON-ARITH	1.9678050056349887	23	-1028413708510875380796990266253688651	(13, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(13,6)	NON-ARITH	1.972618481514914	23	-937809405194455153563511540370878339	(13, 5)	(1000, 30)	r2=5 (>1 complex place)
m004(17,6)	NON-ARITH	1.9820607930750898	23	-812292960900305105947687301211239483	(13, 5)	(2000, 45)	r2=5 (>1 complex place)
m004(19,6)	NON-ARITH	1.9864120747262737	23	-788045965804880986200590263825938919	(13, 5)	(2000, 45)	r2=5 (>1 complex place)
m004(23,6)	NON-ARITH	1.9940644235056866	23	-944099398783214442347420831888326223	(13, 5)	(2000, 45)	r2=5 (>1 complex place)
m004(25,6)	NON-ARITH	1.9973474789782026	24	56385022976145832647264411672171339073	(12, 6)	(2000, 45)	r2=6 (>1 complex place)
m004(1,7)	NON-ARITH	1.97246019733057	27	359361746416409108805522646188494851337789161	(15, 6)	(1000, 30)	r2=6 (>1 complex place)
m004(2,7)	NON-ARITH	1.9727246729087908	14	-45516768542851886611	(8, 3)	(500, 20)	r2=3 (>1 complex place)
m004(3,7)	NON-ARITH	1.9731609627060454	26	1796966162672853258626012733285316539960968	(14, 6)	(1000, 30)	r2=6 (>1 complex place)
m004(4,7)	NON-ARITH	1.9737624386460146	13	-21763682266431227	(7, 3)	(500, 20)	r2=3 (>1 complex place)
m004(5,7)	NON-ARITH	1.9745200726254435	27	338784790323745977145464487591534074474269789	(15, 6)	(1000, 30)	r2=6 (>1 complex place)
m004(6,7)	NON-ARITH	1.975422684134028	14	-45554150945819983723	(8, 3)	(500, 20)	r2=3 (>1 complex place)
m004(8,7)	NON-ARITH	1.977609277374774	13	-23570310418329919	(7, 3)	(500, 20)	r2=3 (>1 complex place)
m004(9,7)	NON-ARITH	1.9788631982608058	26	1529624150362150257236560878358323918081416	(14, 6)	(2000, 45)	r2=6 (>1 complex place)
m004(10,7)	NON-ARITH	1.9802028168866708	14	-45869594346429260159	(8, 3)	(500, 20)	r2=3 (>1 complex place)
m004(11,7)	NON-ARITH	1.9816117413794614	27	278121143795268318022725565139178183722286109	(15, 6)	(2000, 45)	r2=6 (>1 complex place)
m004(12,7)	NON-ARITH	1.9830738067679108	13	-27364071665190811	(7, 3)	(500, 20)	r2=3 (>1 complex place)
m004(13,7)	NON-ARITH	1.984573458432654	27	257343516072153022204257070599414726962299957	(15, 6)	(2000, 45)	r2=6 (>1 complex place)
m004(15,7)	NON-ARITH	1.9876282477027822	26	1218739495044740603106234783427305642466184	(14, 6)	(2000, 45)	r2=6 (>1 complex place)
m004(16,7)	NON-ARITH	1.9891579197850693	13	-35094230455278127	(7, 3)	(500, 20)	r2=3 (>1 complex place)
m004(17,7)	NON-ARITH	1.9906745357120512	27	223814476791730656194979602267336336235352073	(15, 6)	(2000, 45)	r2=6 (>1 complex place)
m004(18,7)	NON-ARITH	1.9921690561191714	14	-49317014512604331439	(8, 3)	(500, 20)	r2=3 (>1 complex place)
m004(19,7)	NON-ARITH	1.993633938315517	27	213114026103773515135973334341859304522322693	(15, 6)	(2000, 45)	r2=6 (>1 complex place)
m004(20,7)	NON-ARITH	1.9950630647808487	13	-52563830451869147	(7, 3)	(500, 20)	r2=3 (>1 complex place)
m004(22,7)	NON-ARITH	1.9977960475396968	14	-53442576832106153239	(8, 3)	(500, 20)	r2=3 (>1 complex place)
m004(23,7)	NON-ARITH	1.999093739948889	27	209333139405726532143278489684866886179764433	(15, 6)	(4000, 60)	r2=6 (>1 complex place)
m004(24,7)	NON-ARITH	2.0003430674534206	13	-103171804025528011	(7, 3)	(500, 20)	r2=3 (>1 complex place)
m004(25,7)	NON-ARITH	2.001543154889395	27	220169166053511518588775173975364798797983489	(15, 6)	(4000, 60)	r2=6 (>1 complex place)
m004(1,8)	NON-ARITH	1.9857927453640456	31	-169945422811999316479979118271028609690602641548101087	(17, 7)	(2000, 45)	r2=7 (>1 complex place)
m004(3,8)	NON-ARITH	1.986214828698521	30	-653676376580841811909593618923198823145854658684723	(16, 7)	(1000, 30)	r2=7 (>1 complex place)
m004(5,8)	NON-ARITH	1.987038085199631	31	-162391767671986385355004319795519169512971828579103111	(17, 7)	(2000, 45)	r2=7 (>1 complex place)
m004(7,8)	NON-ARITH	1.9882227097686707	31	-155567864225727082108200752250210027605658069758735627	(17, 7)	(2000, 45)	r2=7 (>1 complex place)
m004(9,8)	NON-ARITH	1.989713826604849	30	-576061034677197070807010137828860996782750401612423	(16, 7)	(2000, 45)	r2=7 (>1 complex place)
m004(11,8)	NON-ARITH	1.991446674192205	31	-138748788488166607348816765562933529415547819637694147	(17, 7)	(2000, 45)	r2=7 (>1 complex place)
m004(13,8)	NON-ARITH	1.9933524530225293	31	-130014864500367353254591350089896887227704658624895547	(17, 7)	(2000, 45)	r2=7 (>1 complex place)
m004(15,8)	NON-ARITH	1.9953639814507882	30	-475818563442153268103608687632203253969496623960031	(16, 7)	(2000, 45)	r2=7 (>1 complex place)
m004(17,8)	NON-ARITH	1.9974203508151969	31	-114583340268003283151619761899555415380482317424351683	(17, 7)	(4000, 60)	r2=7 (>1 complex place)
m004(19,8)	NON-ARITH	1.9994700421003946	31	-108713519270370251326741005685725282632964693327050831	(17, 7)	(4000, 60)	r2=7 (>1 complex place)
m004(21,8)	NON-ARITH	2.0014723636984724	30	-408381583800609612466273353286383170171660505817051	(16, 7)	(4000, 60)	r2=7 (>1 complex place)
m004(23,8)	NON-ARITH	2.0033974332366506	31	-102460025084104526075887717163062878516400360201050343	(17, 7)	(4000, 60)	r2=7 (>1 complex place)
m004(25,8)	NON-ARITH	2.005225137890085	31	-102979440312998580443128222809323058059424302347210711	(17, 7)	(4000, 60)	r2=7 (>1 complex place)
m004(1,9)	NON-ARITH	1.9949770908808073	35	139072190119404069369782285784054853021793370849947932975507729	(19, 8)	(2000, 45)	r2=8 (>1 complex place)
m004(2,9)	NON-ARITH	1.995078240652993	18	2578625981028013807539712361	(10, 4)	(500, 20)	r2=4 (>1 complex place)
m004(4,9)	NON-ARITH	1.9954776244140802	17	574486540837424738544041	(9, 4)	(500, 20)	r2=4 (>1 complex place)
m004(5,9)	NON-ARITH	1.995771779400969	35	134140508347754207573226688097972653012877145401106388245959813	(19, 8)	(2000, 45)	r2=8 (>1 complex place)
m004(7,9)	NON-ARITH	1.996534352061581	35	129602108718734739724443112106004532461386367368647537653122137	(19, 8)	(2000, 45)	r2=8 (>1 complex place)
m004(8,9)	NON-ARITH	1.9969953752575043	17	602101965598137560516001	(9, 4)	(500, 20)	r2=4 (>1 complex place)
m004(10,9)	NON-ARITH	1.9980554908003976	18	2587786750206094320929642701	(10, 4)	(500, 20)	r2=4 (>1 complex place)
m004(11,9)	NON-ARITH	1.9986452091065432	35	118024672305680600435701795821834707067772494350012231663873861	(19, 8)	(4000, 60)	r2=8 (>1 complex place)
m004(13,9)	NON-ARITH	1.9999195522666369	35	111742113292667050107047006970203927548736803592383198718668253	(19, 8)	(4000, 60)	r2=8 (>1 complex place)
m004(14,9)	NON-ARITH	2.0005943758019646	18	2613586507905367845899744981	(10, 4)	(500, 20)	r2=4 (>1 complex place)
m004(16,9)	NON-ARITH	2.001995649315538	17	749541715282005697055649	(9, 4)	(500, 20)	r2=4 (>1 complex place)
m004(17,9)	NON-ARITH	2.0027132249843893	35	99934468588755609395386406070179743861451179742334920202908209	(19, 8)	(4000, 60)	r2=8 (>1 complex place)
m004(19,9)	NON-ARITH	2.004162132993144	35	94986041964932433192313162508483185994437028606477859360654509	(19, 8)	(4000, 60)	r2=8 (>1 complex place)
m004(20,9)	NON-ARITH	2.004886373797236	17	915716691525839581856809	(9, 4)	(500, 20)	r2=4 (>1 complex place)
m004(22,9)	NON-ARITH	2.0063192783072363	18	2797139032028992845011183893	(10, 4)	(1000, 30)	r2=4 (>1 complex place)
m004(23,9)	NON-ARITH	2.0070229202801912	35	88197894981537969026389716666314027584832965392377732163441529	(19, 8)	(4000, 60)	r2=8 (>1 complex place)
