(-8, 1, 3, False)
(-8, 3, 5, False)
(-8, 5, 9, False)
(-8, 7, 13, False)
(-7, 1, 6, False)
(-7, 2, 7, False)
(-7, 3, 11, False)
(-7, 4, 15, False)
(-7, 5, 19, False)
(-7, 6, '>24', None)
(-7, 8, '>24', None)
(-6, 1, 3, False)
(-6, 5, 10, False)
(-6, 7, 14, False)
(-5, 1, 4, False)
(-5, 2, 7, False)
(-5, 3, 11, False)
(-5, 4, 15, False)
(-5, 6, '>24', None)
(-5, 7, '>24', None)
(-5, 8, '>24', None)
(-4, 3, 5, False)
(-4, 5, 9, False)
(-4, 7, 13, False)
(-3, 2, 6, False)
(-3, 4, 14, False)
(-3, 5, 18, False)
(-3, 7, '>24', None)
(-3, 8, '>24', None)
(-2, 3, 6, False)
(-2, 5, 10, False)
(-2, 7, 14, False)
(-1, 2, 7, False)
(-1, 3, 11, False)
(-1, 4, 15, False)
(-1, 5, '>24', None)
(-1, 6, '>24', None)
(-1, 7, '>24', None)
(-1, 8, '>24', None)
(1, 2, 7, False)
(1, 3, 11, False)
(1, 4, 15, False)
(1, 5, 19, False)
(1, 6, 23, False)
(1, 7, '>24', None)
(1, 8, '>24', None)
(2, 3, 6, False)
(2, 5, 10, False)
(2, 7, 14, False)
(3, 2, 6, False)
(3, 4, 14, False)
(3, 5, 18, False)
(3, 7, '>24', None)
(3, 8, '>24', None)
(4, 3, 5, False)
(4, 5, 9, False)
(4, 7, 13, False)
(5, 1, 4, False)
(5, 2, 7, False)
(5, 3, 11, False)
(5, 4, 15, False)
(5, 6, 23, False)
(5, 7, '>24', None)
(5, 8, '>24', None)
(6, 1, 3, False)
(6, 5, 10, False)
(6, 7, 14, False)
(7, 1, 6, False)
(7, 2, 7, False)
(7, 3, 11, False)
(7, 4, 15, False)
(7, 5, 19, False)
(7, 6, 23, False)
(7, 8, '>24', None)
(8, 1, 3, False)
(8, 3, 5, False)
(8, 5, 9, False)
(8, 7, 13, False)

SUMMARY: hyperbolic analyzed=78  exceptional=9  unresolved=0  field>24=18
VERDICT: B -- the COMPLETED grid reconfirms: no closed hyperbolic filling's invariant trace field contains sqrt(-3) [with residual unknowns]
exit=0
