== P2W5-ORGAN aux: normalisation-convention robustness ==
  d=13 kappa=0.55: e1=0.306943 bbox=3.8189 maxpair=3.7476 g_bbox=0.080375 g_diam=0.081904
  d=13 kappa=0.60: e1=0.289157 bbox=3.8252 maxpair=3.7567 g_bbox=0.075592 g_diam=0.076971
  d=13 kappa=0.65: e1=0.275336 bbox=3.8316 maxpair=3.7658 g_bbox=0.071860 g_diam=0.073115
  d=13 kappa=0.70: e1=0.266745 bbox=3.8379 maxpair=3.7748 g_bbox=0.069503 g_diam=0.070665
  d=13 kappa=0.75: e1=0.265436 bbox=3.8442 maxpair=3.7838 g_bbox=0.069048 g_diam=0.070150
  d=13 kappa=0.80: e1=0.272121 bbox=3.8505 maxpair=3.7928 g_bbox=0.070671 g_diam=0.071747
  d=13 kappa=0.85: e1=0.285125 bbox=3.8569 maxpair=3.8017 g_bbox=0.073927 g_diam=0.074999
  d=13 kappa=0.90: e1=0.302107 bbox=3.8632 maxpair=3.8106 g_bbox=0.078202 g_diam=0.079280
  d=13 kappa=0.95: e1=0.307503 bbox=3.8695 maxpair=3.8195 g_bbox=0.079469 g_diam=0.080508
  d=13 kappa=1.00: e1=0.306068 bbox=3.8757 maxpair=3.8284 g_bbox=0.078970 g_diam=0.079947
  d=13 kappa=1.05: e1=0.300628 bbox=3.8820 maxpair=3.8372 g_bbox=0.077441 g_diam=0.078345
  d=13 kappa=1.10: e1=0.296052 bbox=3.8883 maxpair=3.8460 g_bbox=0.076139 g_diam=0.076976
  d=13 kappa=1.15: e1=0.292176 bbox=3.8946 maxpair=3.8548 g_bbox=0.075022 g_diam=0.075796
  d=13 kappa=1.20: e1=0.288897 bbox=3.9008 maxpair=3.8635 g_bbox=0.074061 g_diam=0.074775
  d=13 kappa=1.25: e1=0.279113 bbox=3.9071 maxpair=3.8723 g_bbox=0.071438 g_diam=0.072080
  d=13 kappa=1.30: e1=0.260215 bbox=3.9133 maxpair=3.8810 g_bbox=0.066495 g_diam=0.067049
  d=13 kappa=1.35: e1=0.237955 bbox=3.9196 maxpair=3.8896 g_bbox=0.060710 g_diam=0.061177
  d=13 kappa=1.40: e1=0.212559 bbox=3.9258 maxpair=3.8983 g_bbox=0.054144 g_diam=0.054527
  d=13 kappa=1.45: e1=0.170208 bbox=3.9320 maxpair=3.9069 g_bbox=0.043288 g_diam=0.043566
  d=13 kappa=1.50: e1=0.126757 bbox=3.9382 maxpair=3.9155 g_bbox=0.032186 g_diam=0.032373
  d=13 kappa=1.55: e1=0.130113 bbox=3.9444 maxpair=3.9240 g_bbox=0.032986 g_diam=0.033158
  d=13 kappa=1.60: e1=0.161928 bbox=3.9506 maxpair=3.9326 g_bbox=0.040988 g_diam=0.041176
