  n                coefficient   v3   v2      other  v3/n
  0                          1    0    0          1  0.000
  2                     -1/108    3    2          1  1.500
  4                   -1/77760    5    6          5  1.250
  6            746747/50388480    9    9          5  1.500
  8 -247782438293/152374763520   12   14        175  1.500
 10 3091841084081551/120680812   14   17       1925  1.400
 12 -156694756175537015609/260   17   21       9625  1.417
 14 20637769301134194148586099   20   24     175175  1.429

  v3 ~ 1.4281*n   =>  n=100 gives 3^143    B685 read: 3^146
