m_scale,theta_star,baseline_a_final,seesaw_a_final,constraint_hits
1e-08,2.18,13.879536321424306,13.75332833750943,5000
1e-08,2.5533333333333337,13.878240790203105,13.753323444966956,5000
1e-08,2.9266666666666667,13.868370166109887,13.753286163809888,5000
1e-08,3.3,13.86833100727572,13.753286015890104,5000
1e-08,3.6733333333333333,13.874805851649208,13.753310472269568,5000
1e-08,4.046666666666667,13.883276980982712,13.753342463168716,5000
1e-08,4.42,13.868411004733773,13.753286318074736,5000
1e-08,4.793333333333333,13.868336580748212,13.753286036943578,5000
1e-08,5.166666666666666,13.870967118180786,13.753295973301803,5000
1e-08,5.54,13.88694707088825,13.753356321110001,5000
1e-07,2.18,13.879536321424306,13.757640929457784,5000
1e-07,2.5533333333333337,13.878240790203105,13.757591998996453,5000
1e-07,2.9266666666666667,13.868370166109887,13.757219150746542,5000
1e-07,3.3,13.86833100727572,13.757217671409974,5000
1e-07,3.6733333333333333,13.874805851649208,13.757462258918881,5000
1e-07,4.046666666666667,13.883276980982712,13.75778220088136,5000
1e-07,4.42,13.868411004733773,13.75722069354055,5000
1e-07,4.793333333333333,13.868336580748212,13.757217881963783,5000
1e-07,5.166666666666666,13.870967118180786,13.75731725502571,5000
1e-07,5.54,13.88694707088825,13.75792079526296,5000
1e-06,2.18,13.879536321424306,13.800791412679612,5000
1e-06,2.5533333333333337,13.878240790203105,13.800301603687524,5000
1e-06,2.9266666666666667,13.868370166109887,13.796569448093745,5000
1e-06,3.3,13.86833100727572,13.79655464075349,5000
1e-06,3.6733333333333333,13.874805851649208,13.799002890639052,5000
1e-06,4.046666666666667,13.883276980982712,13.802205612244649,5000
1e-06,4.42,13.868411004733773,13.796584890612639,5000
1e-06,4.793333333333333,13.868336580748212,13.796556748281075,5000
1e-06,5.166666666666666,13.870967118180786,13.797551428176417,5000
1e-06,5.54,13.88694707088825,13.80359305524277,5000
1e-05,2.18,13.879536321424306,14.234776660668334,5000
1e-05,2.5533333333333337,13.878240790203105,14.229827406878911,5000
1e-05,2.9266666666666667,13.868370166109887,14.192133480672188,5000
1e-05,3.3,13.86833100727572,14.191983991385172,5000
1e-05,3.6733333333333333,13.874805851649208,14.216707194748393,5000
1e-05,4.046666666666667,13.883276980982712,14.249069369032041,5000
1e-05,4.42,13.868411004733773,14.19228938299923,5000
1e-05,4.793333333333333,13.868336580748212,14.192005268154233,5000
1e-05,5.166666666666666,13.870967118180786,14.202048263212793,5000
1e-05,5.54,13.88694707088825,14.263095979237148,5000
0.0001,2.18,13.879536321424306,18.844071686634038,5000
0.0001,2.5533333333333337,13.878240790203105,18.788836030064026,5000
0.0001,2.9266666666666667,13.868370166109887,18.370269769261846,5000
0.0001,3.3,13.86833100727572,18.36861719364632,5000
0.0001,3.6733333333333333,13.874805851649208,18.64272163471545,5000
0.0001,4.046666666666667,13.883276980982712,19.003947649978347,5000
0.0001,4.42,13.868411004733773,18.37199330189055,5000
0.0001,4.793333333333333,13.868336580748212,18.36885240072263,5000
0.0001,5.166666666666666,13.870967118180786,18.48000603798004,5000
0.0001,5.54,13.88694707088825,19.161373979712597,5000
