theta_star,epsilon_n1,epsilon_n5,epsilon_n10
2.18,1.3257315969995412e-35,2.6514631939990822e-36,1.3257315969995411e-36
2.356842105263158,1.1423265455442249e-35,2.28465309108845e-36,1.142326545544225e-36
2.533684210526316,9.232903707479188e-36,1.8465807414958376e-36,9.232903707479188e-37
2.710526315789474,6.754551864144632e-36,1.3509103728289267e-36,6.7545518641446334e-37
2.887368421052632,4.065513968277008e-36,8.131027936554017e-37,4.065513968277009e-37
3.0642105263157897,1.2496657218898822e-36,2.4993314437797644e-37,1.2496657218898822e-37
3.241052631578947,1.6051617407689306e-36,3.2103234815378615e-37,1.6051617407689308e-37
3.417894736842105,4.409921456870809e-36,8.819842913741618e-37,4.409921456870809e-37
3.594736842105263,7.077128162437523e-36,1.4154256324875047e-36,7.077128162437523e-37
3.771578947368421,9.52358710770802e-36,1.904717421541604e-36,9.52358710770802e-37
3.948421052631579,1.167298904401114e-35,2.3345978088022282e-36,1.1672989044011141e-36
4.125263157894737,1.3458290440054967e-35,2.6916580880109932e-36,1.3458290440054966e-36
4.302105263157895,1.4823804684606132e-35,2.9647609369212268e-36,1.4823804684606134e-36
4.478947368421053,1.5726939047362375e-35,3.145387809472475e-36,1.5726939047362376e-36
4.6557894736842105,1.6139523219230927e-35,3.227904643846185e-36,1.6139523219230926e-36
4.832631578947368,1.604868799256382e-35,3.2097375985127646e-36,1.6048687992563823e-36
5.009473684210526,1.54572666738072e-35,3.09145333476144e-36,1.54572666738072e-36
5.186315789473684,1.4383706707815866e-35,2.8767413415631734e-36,1.4383706707815867e-36
5.363157894736842,1.2861494270422284e-35,2.572298854084457e-36,1.2861494270422285e-36
5.54,1.0938109777204224e-35,2.1876219554408448e-36,1.0938109777204224e-36
