theta,A0,A_floor,bound
0.000000000,1.626140551e-02,2.509730631e-02,1
0.003067962,1.640986319e-02,2.509730631e-02,1
0.006135923,1.655887494e-02,2.509730631e-02,1
0.009203885,1.670842088e-02,2.509730631e-02,1
0.012271846,1.685848166e-02,2.509730631e-02,1
0.015339808,1.700903842e-02,2.509730631e-02,1
0.018407769,1.716007281e-02,2.509730631e-02,1
0.021475731,1.731156696e-02,2.509730631e-02,1
0.024543693,1.746350346e-02,2.509730631e-02,1
0.027611654,1.761586534e-02,2.509730631e-02,1
0.030679616,1.776863607e-02,2.509730631e-02,1
0.033747577,1.792179953e-02,2.509730631e-02,1
0.036815539,1.807534003e-02,2.509730631e-02,1
0.039883500,1.822924224e-02,2.509730631e-02,1
0.042951462,1.838349122e-02,2.509730631e-02,1
0.046019424,1.853807242e-02,2.509730631e-02,1
0.049087385,1.869297161e-02,2.509730631e-02,1
0.052155347,1.884817493e-02,2.509730631e-02,1
0.055223308,1.900366883e-02,2.509730631e-02,1
0.058291270,1.915944010e-02,2.509730631e-02,1
0.061359232,1.931547583e-02,2.509730631e-02,1
0.064427193,1.947176341e-02,2.509730631e-02,1
0.067495155,1.962829053e-02,2.509730631e-02,1
0.070563116,1.978504515e-02,2.509730631e-02,1
0.073631078,1.994201551e-02,2.509730631e-02,1
0.076699039,2.009919011e-02,2.509730631e-02,1
0.079767001,2.025655771e-02,2.509730631e-02,1
0.082834963,2.041410731e-02,2.509730631e-02,1
0.085902924,2.057182814e-02,2.509730631e-02,1
0.088970886,2.072970970e-02,2.509730631e-02,1
0.092038847,2.088774166e-02,2.509730631e-02,1
0.095106809,2.104591394e-02,2.509730631e-02,1
0.098174770,2.120421667e-02,2.509730631e-02,1
0.101242732,2.136264017e-02,2.509730631e-02,1
0.104310694,2.152117496e-02,2.509730631e-02,1
0.107378655,2.167981177e-02,2.509730631e-02,1
0.110446617,2.183854148e-02,2.509730631e-02,1
0.113514578,2.199735518e-02,2.509730631e-02,1
0.116582540,2.215624411e-02,2.509730631e-02,1
0.119650501,2.231519971e-02,2.509730631e-02,1
0.122718463,2.247421354e-02,2.509730631e-02,1
