bin_left,bin_right,count
0,0.0014421284,0
0.0014421284,0.0028842567,0
0.0028842567,0.0043263851,0
0.0043263851,0.0057685134,0
0.0057685134,0.0072106418,0
0.0072106418,0.0086527701,0
0.0086527701,0.010094898,47
0.010094898,0.011537027,33
0.011537027,0.012979155,25
0.012979155,0.014421284,23
0.014421284,0.015863412,21
0.015863412,0.01730554,60
0.01730554,0.018747669,76
0.018747669,0.020189797,57
0.020189797,0.021631925,51
0.021631925,0.023074054,51
0.023074054,0.024516182,48
0.024516182,0.02595831,50
0.02595831,0.027400439,51
0.027400439,0.028842567,52
0.028842567,0.030284695,56
0.030284695,0.031726824,62
0.031726824,0.033168952,72
0.033168952,0.03461108,113
0.03461108,0.036053209,63
0.036053209,0.037495337,21
0.037495337,0.038937466,22
0.038937466,0.040379594,23
0.040379594,0.041821722,23
0.041821722,0.043263851,24
0.043263851,0.044705979,26
0.044705979,0.046148107,26
0.046148107,0.047590236,28
0.047590236,0.049032364,30
0.049032364,0.050474492,34
0.050474492,0.051916621,36
0.051916621,0.053358749,43
0.053358749,0.054800877,52
0.054800877,0.056243006,226
0.056243006,0.057685134,423
