i	part	claim_index	dup_of
0	p1	0	
1	p1	1	
2	p1	2	
3	p1	3	
4	p1	4	
5	p1	5	
6	p1	6	
7	p1	7	
8	p1	8	
9	p1	9	
10	p1	10	
11	p1	11	
12	p1	12	
13	p1	13	
14	p1	14	
15	p1	15	
16	p1	16	
17	p1	17	
18	p1	18	
19	p1	19	
20	p1	20	
21	p1	21	
22	p1	22	
23	p1	23	
24	p1	24	
25	p1	25	
26	p1	26	
27	p1	27	
28	p1	28	
29	p1	29	
30	p1	30	
31	p1	31	
32	p1	32	
33	p1	33	
34	p1	34	
35	p1	35	
36	p1	36	
37	p1	37	
38	p1	38	
39	p1	39	
40	p1	40	
41	p1	41	
42	p1	42	
43	p1	43	
44	p1	44	
45	p1	45	
46	p1	46	
47	p1	47	
48	p1	48	
49	p1	49	
50	p1	50	
51	p1	51	
52	p1	52	
53	p1	53	
54	p1	54	
55	p1	55	
56	p1	56	
57	p1	57	
58	p1	58	
59	p1	59	
60	p1	60	
61	p1	61	
62	p1	62	
63	p1	63	
64	p1	64	
65	p1	65	
66	p1	66	
67	p1	67	
68	p1	68	
69	p1	69	
70	p1	70	
71	p1	71	
72	p1	72	
73	p1	73	
74	p1	74	
75	p1	75	
76	p1	76	
77	p1	77	
78	p1	78	
79	p1	79	
80	p1	80	
81	p1	81	
82	p1	82	
83	p1	83	
84	p1	84	
85	p1	85	
86	p1	86	
87	p1	87	
88	p1	88	
89	p1	89	
90	p1	90	
91	p1	91	
92	p1	92	
93	p1	93	
94	p1	94	
95	p1	95	
96	p1	96	
97	p1	97	
98	p1	98	
99	p1	99	
100	p1	100	
101	p1	101	
102	p1	102	
103	p1	103	
104	p1	104	
105	p1	105	
106	p1	106	
107	p1	107	
108	p1	108	
109	p1	109	
110	p1	110	
111	p1	111	
112	p1	112	
113	p1	113	
114	p1	114	
115	p1	115	
116	p1	116	
117	p1	117	
118	p1	118	
119	p1	119	
120	p1	120	
121	p1	121	
122	p1	122	
123	p1	123	
124	p1	124	
125	p1	125	
126	p1	126	
127	p1	127	
128	p1	128	
129	p1	129	
130	p1	130	
131	p1	131	
132	p1	132	
133	p1	133	
134	p1	134	
135	p1	135	
136	p1	136	
137	p1	137	
138	p1	138	
139	p1	139	
140	p1	140	
141	p1	141	
142	p1	142	
143	p1	143	
144	p1	144	
145	p1	145	
146	p1	146	
147	p1	147	
148	p1	148	
149	p1	149	
150	p1	150	
151	p1	151	
152	p1	152	
153	p1	153	
154	p1	154	
155	p1	155	
156	p1	156	
157	p1	157	
158	p1	158	
159	p1	159	
160	p1	160	
161	p1	161	
162	p1	162	
163	p1	163	
164	p1	164	
165	p1	165	
166	p1	166	
167	p1	167	
168	p1	168	
169	p1	169	
170	p1	170	
171	p1	171	
172	p1	172	
173	p1	173	
174	p1	174	
175	p1	175	
176	p1	176	
177	p1	177	
178	p1	178	
179	p1	179	
180	p1	180	
181	p1	181	
182	p1	182	
183	p1	183	
184	p1	184	
185	p1	185	
186	p1	186	
187	p1	187	
188	p1	188	
189	p1	189	
190	p1	190	
191	p1	191	
192	p1	192	
193	p1	193	
194	p1	194	
195	p1	195	
196	p1	196	
197	p1	197	
198	p1	198	
199	p1	199	
200	p1	200	
201	p1	201	
202	p1	202	
203	p1	203	
204	p1	204	
205	p1	205	
206	p1	206	
207	p1	207	
208	p1	208	
209	p1	209	
210	p1	210	
211	p1	211	
212	p1	212	
213	p1	213	
214	p1	214	
215	p1	215	
216	p1	216	
217	p1	217	
218	p1	218	
219	p1	219	
220	p1	220	
221	p1	221	
