theta_index,theta,Omega_m,Omega_lambda,H0_km_s_Mpc,age_Gyr_host,omega_lambda_repo,age_Gyr_repo,frw_viable,in_toy_corridor,in_host_age_anchor_window
0,0.0,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
1,0.0030679615757712,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
2,0.0061359231515425,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
3,0.0092038847273138,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
4,0.0122718463030851,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
5,0.0153398078788564,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
6,0.0184077694546276,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
7,0.0214757310303989,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
8,0.0245436926061702,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
9,0.0276116541819415,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
10,0.0306796157577128,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
11,0.0337475773334841,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
12,0.0368155389092553,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
13,0.0398835004850266,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
14,0.0429514620607979,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
15,0.0460194236365692,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
16,0.0490873852123405,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
17,0.0521553467881118,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
18,0.055223308363883,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
19,0.0582912699396543,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
20,0.0613592315154256,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
21,0.0644271930911969,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
22,0.0674951546669682,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
23,0.0705631162427394,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
24,0.0736310778185107,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
25,0.076699039394282,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
26,0.0797670009700533,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
27,0.0828349625458246,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
28,0.0859029241215959,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
29,0.0889708856973671,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
30,0.0920388472731384,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
31,0.0951068088489097,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
32,0.098174770424681,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
33,0.1012427320004523,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
34,0.1043106935762236,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
35,0.1073786551519948,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
36,0.1104466167277661,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
37,0.1135145783035374,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
38,0.1165825398793087,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
39,0.11965050145508,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
40,0.1227184630308513,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
41,0.1257864246066225,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
42,0.1288543861823938,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
43,0.1319223477581651,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
44,0.1349903093339364,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
45,0.1380582709097077,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
46,0.1411262324854789,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
47,0.1441941940612502,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
48,0.1472621556370215,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
49,0.1503301172127928,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
50,0.1533980787885641,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
51,0.1564660403643354,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
52,0.1595340019401067,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
53,0.1626019635158779,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
54,0.1656699250916492,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
55,0.1687378866674205,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
56,0.1718058482431918,0.9394528094707536,0.0605471905292464,70.0,9.507378977280066,0.0605471905292464,16.479896458221216,False,True,False
57,0.174873809818963,0.9386615564996464,0.0613384435003536,70.0,9.510027242458632,0.0613384435003536,16.473578426327503,False,True,False
58,0.1779417713947343,0.9370996143434276,0.0629003856565723,70.0,9.515262790921849,0.0629003856565723,16.461143804110304,False,True,False
59,0.1810097329705056,0.9355088020251632,0.0644911979748368,70.0,9.520605845675556,0.0644911979748368,16.448529833921643,False,True,False
60,0.1840776945462769,0.9338888521227556,0.0661111478772445,70.0,9.526057938010233,0.0661111478772445,16.435736769844866,False,True,False
61,0.1871456561220482,0.9322394996183372,0.0677605003816628,70.0,9.531620614063485,0.0677605003816628,16.422764930318646,False,True,False
62,0.1902136176978195,0.9305604819823003,0.0694395180176997,70.0,9.53729543510167,0.0694395180176997,16.409614698051513,False,True,False
63,0.1932815792735908,0.9288515392569808,0.071148460743019,70.0,9.54308397781238,0.071148460743019,16.396286519879062,False,True,False
64,0.196349540849362,0.9271124141399852,0.0728875858600149,70.0,9.548987834607928,0.0728875858600149,16.382780906564243,False,True,False
65,0.1994175024251333,0.9253428520671214,0.0746571479328786,70.0,9.55500861394024,0.0746571479328786,16.36909843254106,False,True,False
66,0.2024854640009046,0.9235426012949224,0.0764573987050775,70.0,9.561147940627343,0.0764573987050775,16.355239735602293,False,True,False
67,0.2055534255766759,0.9217114129827308,0.0782885870172691,70.0,9.56740745619184,0.0782885870172691,16.34120551653187,False,True,False
68,0.2086213871524472,0.9198490412743244,0.0801509587256756,70.0,9.573788819211591,0.0801509587256756,16.326996538682543,False,True,False
69,0.2116893487282184,0.917955243379052,0.0820447566209481,70.0,9.580293705683026,0.0820447566209481,16.312613627499722,False,True,False
70,0.2147573103039897,0.9160297796524718,0.0839702203475282,70.0,9.586923809397303,0.0839702203475282,16.298057669992417,False,True,False
71,0.217825271879761,0.9140724136764456,0.0859275863235545,70.0,9.593680842329796,0.0859275863235545,16.283329614152105,False,True,False
72,0.2208932334555323,0.9120829123386874,0.0879170876613126,70.0,9.600566535043123,0.0879170876613126,16.268430468320794,False,True,False
73,0.2239611950313036,0.9100610459117306,0.0899389540882693,70.0,9.607582637104253,0.0899389540882693,16.253361300509276,False,True,False
74,0.2270291566070749,0.9080065881312912,0.0919934118687089,70.0,9.614730917515882,0.0919934118687089,16.238123237666787,False,True,False
75,0.2300971181828461,0.9059193162740116,0.0940806837259883,70.0,9.62201316516271,0.0940806837259883,16.222717464903536,False,True,False
76,0.2331650797586174,0.903799011234556,0.0962009887654441,70.0,9.629431189272806,0.0962009887654441,16.207145224667187,False,True,False
77,0.2362330413343887,0.9016454576020316,0.0983545423979685,70.0,9.636986819894693,0.0983545423979685,16.19140781587496,False,True,False
78,0.23930100291016,0.8994584437357238,0.1005415562642762,70.0,9.644681908390446,0.1005415562642762,16.17550659300271,False,True,False
79,0.2423689644859313,0.897237761840116,0.1027622381598839,70.0,9.652518327945414,0.1027622381598839,16.159442965132527,False,True,False
80,0.2454369260617026,0.8949832080391666,0.1050167919608334,70.0,9.660497974094918,0.1050167919608334,16.14321839496051,False,True,False
81,0.2485048876374738,0.8926945824498401,0.1073054175501599,70.0,9.668622765268545,0.1073054175501599,16.126834397766324,False,True,False
82,0.2515728492132451,0.8903716892548444,0.1096283107451556,70.0,9.676894643352515,0.1096283107451556,16.110292540346148,False,True,False
83,0.2546408107890164,0.8880143367745766,0.1119856632254234,70.0,9.68531557427067,0.1119856632254234,16.093594439910895,False,True,False
84,0.2577087723647877,0.8856223375382465,0.1143776624617535,70.0,9.693887548584664,0.1143776624617535,16.076741762951343,False,True,False
85,0.260776733940559,0.8831955083541464,0.1168044916458536,70.0,9.702612582113993,0.1168044916458536,16.059736224071962,False,True,False
86,0.2638446955163303,0.8807336703790689,0.1192663296209311,70.0,9.711492716576416,0.1192663296209311,16.04257958479534,False,True,False
87,0.2669126570921015,0.8782366491868353,0.1217633508131647,70.0,9.720530020249443,0.1217633508131647,16.025273652338992,False,True,False
88,0.2699806186678728,0.8757042748359146,0.1242957251640854,70.0,9.729726588653651,0.1242957251640854,16.00782027836635,False,True,False
89,0.2730485802436441,0.8731363819361246,0.1268636180638753,70.0,9.73908454525837,0.1268636180638753,15.990221357713928,False,True,False
90,0.2761165418194154,0.8705328097143854,0.1294671902856146,70.0,9.74860604221062,0.1294671902856146,15.972478827096444,False,True,False
91,0.2791845033951867,0.867893402079503,0.132106597920497,70.0,9.758293261088031,0.132106597920497,15.95459466379174,False,True,False
92,0.2822524649709579,0.865218007685983,0.134781992314017,70.0,9.76814841367647,0.134781992314017,15.936570884307567,False,True,False
93,0.2853204265467292,0.8625064799968243,0.1374935200031757,70.0,9.778173742773344,0.1374935200031757,15.918409543031864,False,True,False
94,0.2883883881225005,0.8597586773453059,0.1402413226546941,70.0,9.78837152301737,0.1402413226546941,15.900112730868557,False,True,False
95,0.2914563496982718,0.8569744629957301,0.1430255370042699,70.0,9.79874406174568,0.1430255370042699,15.88168257386076,False,True,False
96,0.2945243112740431,0.8541537052030991,0.1458462947969009,70.0,9.809293699879412,0.1458462947969009,15.863121231803015,False,True,False
97,0.2975922728498144,0.851296277271729,0.1487037227282711,70.0,9.820022812838516,0.1487037227282711,15.84443089684466,False,True,False
98,0.3006602344255856,0.8484020576127655,0.1515979423872344,70.0,9.830933811487029,0.1515979423872344,15.825613792085925,False,True,False
99,0.303728196001357,0.8454709298005854,0.1545290701994147,70.0,9.842029143109832,0.1545290701994147,15.806672170168586,False,True,False
100,0.3067961575771282,0.8425027826280734,0.1574972173719266,70.0,9.853311292422031,0.1574972173719266,15.787608311862968,False,True,False
101,0.3098641191528995,0.8394975101607626,0.1605024898392374,70.0,9.864782782612115,0.1605024898392374,15.76842452465294,False,True,False
102,0.3129320807286708,0.8364550117897952,0.1635449882102048,70.0,9.876446176420288,0.1635449882102048,15.749123141320572,False,True,False
103,0.316000042304442,0.833375192283734,0.166624807716266,70.0,9.88830407725304,0.166624807716266,15.729706518532211,False,True,False
104,0.3190680038802134,0.8302579618391549,0.1697420381608451,70.0,9.900359130335609,0.1697420381608451,15.710177035427394,False,True,False
105,0.3221359654559846,0.8271032361300532,0.1728967638699468,70.0,9.9126140239035,0.1728967638699468,15.690537092212292,False,True,False
