set,mech_column,n_theta,frac_of_grid,grad_mean,grad_std,grad_min,grad_max,abs_grad_mean,abs_grad_p95,abs_grad_max
ALL_GRID,mech_baseline_A0,2048,1.0,-1.6703310947926986e-09,0.02697503638200345,-0.044309938909801616,0.05189009251524901,0.02155600390859664,0.048763607546939834,0.05189009251524901
ALL_GRID,mech_baseline_A_floor,2048,1.0,2.7755575615628914e-17,0.021128508251312583,-0.044309938909801616,0.05174266563625096,0.013913816668769164,0.044247838474273805,0.05174266563625096
ALL_GRID,mech_binding_A0,2048,1.0,-1.6703426706024538e-09,0.02697503638198288,-0.04430993900390323,0.051890092785444875,0.021556003905248085,0.048763606903044675,0.051890092785444875
ALL_GRID,mech_binding_A,2048,1.0,1.6479873021779667e-17,0.021128508248409228,-0.04430993900390323,0.05174266506583969,0.013913816663530329,0.04424783826098126,0.05174266506583969
FRW_VIABLE,mech_baseline_A0,1016,0.49609375,5.4368780254423365e-06,0.019695629927938614,-0.04244469227658332,0.04502261569728816,0.013903309523673453,0.04076169531835183,0.04502261569728816
FRW_VIABLE,mech_baseline_A_floor,1016,0.49609375,5.4368780254423365e-06,0.019695629927938614,-0.04244469227658332,0.04502261569728816,0.013903309523673453,0.04076169531835183,0.04502261569728816
FRW_VIABLE,mech_binding_A0,1016,0.49609375,5.436878838241858e-06,0.01969562992645979,-0.04244469159978337,0.04502261577127875,0.013903309517634209,0.04076169606101576,0.04502261577127875
FRW_VIABLE,mech_binding_A,1016,0.49609375,5.436878838241858e-06,0.01969562992645979,-0.04244469159978337,0.04502261577127875,0.013903309517634209,0.04076169606101576,0.04502261577127875
TOY_CORRIDOR,mech_baseline_A0,1186,0.5791015625,9.354724970773611e-06,0.033514740560100384,-0.044309938909801616,0.05189009251524901,0.030381065862831968,0.05082452791502101,0.05189009251524901
TOY_CORRIDOR,mech_baseline_A_floor,1186,0.5791015625,9.357609319964056e-06,0.02525056824635529,-0.044309938909801616,0.05174266563625096,0.017184438993382838,0.04756494911880016,0.05174266563625096
TOY_CORRIDOR,mech_binding_A0,1186,0.5791015625,9.354725726449815e-06,0.03351474056126335,-0.04430993900390323,0.051890092785444875,0.03038106586278815,0.050824527639378614,0.051890092785444875
TOY_CORRIDOR,mech_binding_A,1186,0.5791015625,9.357610095608923e-06,0.02525056824374173,-0.04430993900390323,0.05174266506583969,0.017184438990074855,0.047564949529598666,0.05174266506583969
CORRIDOR_AND_VIABLE,mech_baseline_A0,154,0.0751953125,0.00010793501770953354,0.0391509263831776,-0.04244469227658332,0.04502261569728816,0.03903253626340926,0.04403358627985194,0.04502261569728816
CORRIDOR_AND_VIABLE,mech_baseline_A_floor,154,0.0751953125,0.00010793501770953354,0.0391509263831776,-0.04244469227658332,0.04502261569728816,0.03903253626340926,0.04403358627985194,0.04502261569728816
CORRIDOR_AND_VIABLE,mech_binding_A0,154,0.0751953125,0.00010793502904553349,0.03915092638609586,-0.04244469159978337,0.04502261577127875,0.039032536267759876,0.044033585629986716,0.04502261577127875
CORRIDOR_AND_VIABLE,mech_binding_A,154,0.0751953125,0.00010793502904553349,0.03915092638609586,-0.04244469159978337,0.04502261577127875,0.039032536267759876,0.044033585629986716,0.04502261577127875
CORRIDOR_AND_VIABLE_AND_ANCHOR,mech_baseline_A0,18,0.0087890625,0.00017878881748521912,0.03443941976652225,-0.03482491464161708,0.03527672277733451,0.034437112088050253,0.03513698219082233,0.03527672277733451
CORRIDOR_AND_VIABLE_AND_ANCHOR,mech_baseline_A_floor,18,0.0087890625,0.00017878881748521912,0.03443941976652225,-0.03482491464161708,0.03527672277733451,0.034437112088050253,0.03513698219082233,0.03527672277733451
CORRIDOR_AND_VIABLE_AND_ANCHOR,mech_binding_A0,18,0.0087890625,0.00017878885935064382,0.03443941975505838,-0.034824913700633786,0.035276721751996476,0.03443711208021025,0.03513698201248796,0.035276721751996476
CORRIDOR_AND_VIABLE_AND_ANCHOR,mech_binding_A,18,0.0087890625,0.00017878885935064382,0.03443941975505838,-0.034824913700633786,0.035276721751996476,0.03443711208021025,0.03513698201248796,0.035276721751996476
CORRIDOR_AND_VIABLE_NOT_ANCHOR,mech_baseline_A0,136,0.06640625,9.85573089156928e-05,0.03973265510513373,-0.04244469227658332,0.04502261569728816,0.03964075416897148,0.044152278851779636,0.04502261569728816
CORRIDOR_AND_VIABLE_NOT_ANCHOR,mech_baseline_A_floor,136,0.06640625,9.85573089156928e-05,0.03973265510513373,-0.04244469227658332,0.04502261569728816,0.03964075416897148,0.044152278851779636,0.04502261569728816
CORRIDOR_AND_VIABLE_NOT_ANCHOR,mech_binding_A0,136,0.06640625,9.855731621103359e-05,0.039732655109696834,-0.04244469159978337,0.04502261577127875,0.039640754174935566,0.044152278204822926,0.04502261577127875
CORRIDOR_AND_VIABLE_NOT_ANCHOR,mech_binding_A,136,0.06640625,9.855731621103359e-05,0.039732655109696834,-0.04244469159978337,0.04502261577127875,0.039640754174935566,0.044152278204822926,0.04502261577127875
